DEELGEMEENTE;STRAAT;NUMMER;TYPE;LIGGING;MI_STYLE;MI_PRINX;latWGS84;loWGS84;Aangemaakt op
brugge-centrum;NOORDZANDSTRAAT;BR425;L;t.h.v. nr. 52;;1842;51.2070333245747;3.21964861368592;30/10/2017
Sint-Kruis;KARTUIZERSSTRAAT;SK074;F;r.o. nr 75;;347;51.2170529635574;3.24392307195578;30/10/2017
brugge;KONING ALBERT I-LAAN;BR481;L;Koning Albertpark, onder bomen achter concertgebouw;;1733;51.2030040731239;3.21893538745468;30/10/2017
Assebroek;TRAMSTRAAT;AS118;F;aan begin verbindingsfietspad naar Nijverheidsstraat;;1590;51.203105417351;3.24550276703661;30/10/2017
Sint-Michiels;179;SM068;ZD;achterzijde station op platform aan hoofdingang;;1565;51.1968185034762;3.21649050217035;30/10/2017
Centrum;KONING ALBERT I-LAAN;BR197;M;dicht bij bushokje aan Boeverieschool;Symbol (35, 0, 12);701;51.2003997261201;3.21701393765982;30/10/2017
Sint-Andries;WAGGELWATER;SA163;F;Waggelwaterbos : ingang aan roeiclub;;1729;51.2173737783306;3.19854058014751;30/10/2017
Centrum;MUNTPLEIN;BR015;L;;Symbol (35, 0, 12);495;51.2090019820184;3.22119432571141;30/10/2017
Centrum;VLAMINGSTRAAT;BR361;L;op hoek met N. Desparstraat;Symbol (35, 0, 12);839;51.2100180118722;3.22451421059725;30/10/2017
Sint-Andries;DENNENHOF;SA166;F;aan petanqueplein;;1744;51.2052585629679;3.18687225519432;30/10/2017
Centrum;ZILVERSTRAAT;BR351;L;r.o. nr 16;Symbol (35, 0, 12);834;51.2074156033764;3.22215944440865;30/10/2017
Sint-Andries;OLYMPIAPARK;SAXXX;F;;;248;51.192507506695;3.18124753083992;30/10/2017
Centrum;WIJNGAARDPLEIN;BR111;L;r.o. nr 3;Symbol (35, 0, 12);579;51.2013259844446;3.22444877695884;30/10/2017
Assebroek;BARON RUZETTELAAN;AS130;F;op randparking in hoek kant vrachtwagenparking;;1672;51.1802661552336;3.23378475248707;30/10/2017
Assebroek;CANADARING;ASXXX;;kinderboerderij;Symbol (35, 0, 12);1301;51.1891815345;3.24441573631262;30/10/2017
Sint-Pieters;BLANKENBERGSE STEENWEG;SP013;F;"Cultureel Centrum ""De Dijk"", aan ingang bibliotheek";Symbol (35, 0, 12);425;51.2290945586533;3.20569632147849;30/10/2017
Koolkerke;HEMELBEEKSTRAAT;KO017;F;op speelplein;Symbol (35, 0, 12);1135;51.2406038585799;3.24634759056142;30/10/2017
Centrum;ARENTSHOF;BR431;L;aan pagode;Symbol (35, 0, 12);997;51.2052254313498;3.22587692553858;30/10/2017
