frntype_sh;fietstrace;gemeente;lstrnm;rstrnm;lengte;wegcategor;beheer_shp;bff_datum_;ident8_opl;ident8_afl;latWGS84;loWGS84;Aangemaakt op
functionele fietsroute;31005_<straatnaam_ongekend>_10429;Brugge;;;37,00000000000000000;lokale weg type 3;Stad Brugge;20141231;;;51.2179950017415,51.2179950017415,51.2179950017415;3.2355667821552,3.2355667821552,3.2355667821552;23/06/2016
hoofdroute;31005_Buiten de Dampoort_10277;Brugge;Buiten de Dampoort;Buiten de Dampoort;13,00000000000000000;onbekend;AWV - District Brugge;20141231;N3740001;N3740002;51.2223883722844,51.2223883722844;3.23293245078419,3.23293245078419;23/06/2016
functionele fietsroute;31005_<straatnaam_ongekend>_10397;Brugge;;;240,00000000000000000;secundaire weg type 2;AWV - District Brugge;20141231;N0315101;N0315102;51.2026849668419,51.2026849668419,51.2026849668419,51.2026849668419,51.2026849668419,51.2026849668419,51.2026849668419;3.19238349476626,3.19238349476626,3.19238349476626,3.19238349476626,3.19238349476626,3.19238349476626,3.19238349476626;23/06/2016
functionele fietsroute;31005_Astridlaan_10254;Brugge;Astridlaan;Astridlaan;33,00000000000000000;lokale weg type 1;AWV - District Brugge;20141231;N3370001;N3370002;51.1895810119911,51.1895810119911,51.1895810119911,51.1895810119911;3.28184280975217,3.28184280975217,3.28184280975217,3.28184280975217;23/06/2016
functionele fietsroute;31006_Bruggesteenweg_10467;Damme;Bruggesteenweg;Bruggesteenweg;45,00000000000000000;secundaire weg type 1;AWV - District Brugge;20141231;N0090001;;51.2052888690829,51.2052888690829,51.2052888690829;3.30476713561732,3.30476713561732,3.30476713561732;23/06/2016
functionele fietsroute;31042_Blankenbergse Steenweg_10745;Zuienkerke;Blankenbergse Steenweg;Blankenbergse Steenweg;111,00000000000000000;primaire weg II;AWV - District Brugge;20141231;N3710001;N3710002;51.263878356918,51.263878356918,51.263878356918,51.263878356918,51.263878356918;3.18276503920611,3.18276503920611,3.18276503920611,3.18276503920611,3.18276503920611;23/06/2016
functionele fietsroute;31006_Stationsstraat_10497;Damme;Stationsstraat;Stationsstraat;155,00000000000000000;lokale weg type 1;Stad Damme;20141231;;;51.216147551797,51.216147551797,51.216147551797,51.216147551797,51.216147551797;3.31287105540792,3.31287105540792,3.31287105540792,3.31287105540792,3.31287105540792;23/06/2016
functionele fietsroute;31005_Dudzeelse Steenweg_10294;Brugge;Dudzeelse Steenweg;Dudzeelse Steenweg;68,00000000000000000;lokale weg type 1;AWV - District Brugge;20141231;;N3760002;51.2488215196885,51.2488215196885,51.2488215196885,51.2488215196885;3.22937303882761,3.22937303882761,3.22937303882761,3.22937303882761;23/06/2016
functionele fietsroute;31005_<straatnaam_ongekend>_10402;Brugge;;;1309,00000000000000000;lokale weg type 1;Stad Brugge;20141231;;;51.3063231770999,51.3063231770999,51.3063231770999,51.3063231770999,51.3063231770999,51.3063231770999;3.20190472824204,3.20190472824204,3.20190472824204,3.20190472824204,3.20190472824204,3.20190472824204;23/06/2016
functionele fietsroute;31005_Blankenbergse Steenweg_10262;Brugge;Blankenbergse Steenweg;Blankenbergse Steenweg;1,00000000000000000;primaire weg II;AWV - District Brugge;20141231;;N3710002;51.2605059733997,51.2605059733997;3.18541336319528,3.18541336319528;23/06/2016
