Id;Straat;School;Type;Aant_bord;Inplanting;Foto;Zone30;Datumplaat;Dgemeente;latWGS84;loWGS84;Aangemaakt op
42;Nieuwe St.-Annadreef;Bu.S.O.-De Varens;Octopus;1;Beplanting;foto/nieuwe sint-annadreef 2.PNG;ja;20050817;Sint-Andries;51.1902613785931;3.17322714823611;15/09/2016
13;Palingstraat;Vrije Gesubs. Basisschool Sint-Leocollege Afdeling B;Octopus;1;Voetpad (gras);foto/paligstraat.PNG;ja;20050812;Sint-Pieters;51.2309801530459;3.20635435430048;15/09/2016
28;Diksmuidse Heerweg;Stedelijke Basisschool-De Triangel;Octopus;1;Voetpad;foto/diksmuidse heerweg 3.PNG;ja;20060401;Sint-Andries;51.195872220311;3.19469604686913;15/09/2016
20;Zeebruggelaan 41;Vrije Gesubs. Basisschool-De Lisblomme;Octopuspaal;1;fietspad;foto/Zeebruggelaan.JPG;nee;20060401;Lissewege;51.2940461853287;3.19216226231088;15/09/2016
30;Doornstraat;Vrije Gesubs. Basisschool Sint-Lodewijkscollege;Octopus;1;Voetpad;foto/doornstraat 2.PNG;ja;20060401;Sint-Andries;51.193443398274;3.19447864780613;15/09/2016
80;Weidestraat;Basisschool Koninklijk Atheneum Assebroek;Octopus;1;Beplanting;foto/weidestraat.PNG;ja;20050831;Assebroek;51.1959314446471;3.24284401891697;15/09/2016
56;Rijselstraat;Koninklijk Technisch Atheneum;Octopus;1;Voetpad;foto/rijselstraat 2.PNG;ja;20060401;Sint-Michiels;51.1933435125479;3.21363038555028;15/09/2016
6;Pannebekestraat;Basisschool Oefenschool-Pannebeke;Octopus;1;Wegversmalling;foto/pannebekestraat.PNG;nee;20050812;Sint-Jozef;51.2271372671644;3.23017368886998;15/09/2016
44;Noordveldstraat;Vrij Gesubs. B.L.O.-Het Noordveld;Octopus;1;Beplanting;foto/noordveldstraat 2.PNG;ja;20050822;Sint-Andries;51.2044562139767;3.19858461351676;15/09/2016
78;Daverlostraat;Basisschool Koninklijk Atheneum Assebroek;Octopus;1;Beplanting;foto/daverlostraat 1.PNG;ja;20050828;Assebroek;51.1957432987467;3.24511528284336;15/09/2016
21;Doornweg;Vrije Gesubs. Basisschool-De Lisblomme;Octopus;1;Voetpad;foto/doornweg.PNG;ja;20050816;Zwankendamme;51.3093143440777;3.19855999765899;15/09/2016
12;Karel Ledeganckstraat;Basisschool Brugge Kust-De Regenboog;Octopus;1;Voetpad;foto/karel ledeganckstraat 2.PNG;ja;20060401;Sint-Pieters;51.2261543841962;3.20738263783237;15/09/2016
27;Diksmuidse Heerweg;Stedelijke Basisschool-De Triangel;Octopus;1;Voetpad;foto/diksmuidse heerweg 2.PNG;ja;20060401;Sint-Andries;51.1954873720011;3.19468543881522;15/09/2016
85;Sint-Kristoffelstraat;Vrij Gesubs. B.L.O.-De Boomgaard;Octopus;1;Voetpad;foto/sint-kristoffelstraat 3.PNG;ja;20050921;Assebroek;51.2024931220114;3.25338827343687;15/09/2016
72;Koning Boudewijnlaan;Guido Gezelleschool Steinerpedagogie;Octopus;2;Voetpad;foto/koning boudewijlaan.PNG;ja;20050831;Assebroek;51.1979158693911;3.24936239632885;15/09/2016
58;Dorpsstraat;Gemeentelijke Basisschool Afdeling A;Octopus;1;Voetpad;foto/rijselstraat 4.PNG;nee;20050824;Sint-Michiels;51.1878467900032;3.21182827737424;15/09/2016
79;Daverlostraat;Basisschool Koninklijk Atheneum Assebroek;Octopus;1;Middenstuk baan-fietspad;foto/daverlostraat.PNG;ja;20050831;Assebroek;51.1968106880883;3.2436620161783;15/09/2016
61;Sint-Michielslaan;Gemeentelijke Basisschool Afdeling B;Octopus;1;Beplanting;foto/sint-michielslaan.PNG;ja;20050921;Sint-Michiels;51.1797721517079;3.21958401304313;15/09/2016
51;Barrièrestraat;Bu.S.I.-Ravelijn;Octopus;1;Voetpad;foto/barrierestraat.PNG;ja;20050823;Sint-Michiels;51.1940359156968;3.20777231788363;15/09/2016
50;Barrièrestraat;Bu.S.O.-Ravelijn;Octopus;1;Voetpad;foto/barrierestraat 2.PNG;ja;20050401;Sint-Michiels;51.1937245262747;3.20709951592207;15/09/2016
59;Rijselstraat;Gemeentelijke Basisschool Afdeling A;Octopus;1;Voetpad;foto/rijselstraat 3.PNG;nee;20050824;Sint-Michiels;51.1878653662102;3.21112153939607;15/09/2016
43;Noordveldstraat;Vrij Gesubs. B.L.O.-Het Noordveld;Octopus;1;voetpad;foto/noordveldstraat.PNG;ja;20050822;Sint-Andries;51.2037743899491;3.19877695622584;15/09/2016
46;Zandstraat;Vrij Technisch Instituut-Zandstraat;Octopus;2;Beplanting;foto/zandstraat.PNG;ja;20050817;Sint-Andries;51.2024139760031;3.19516050295632;15/09/2016
36;Koude-Keukenstraat;Vrije Ges. Gem. Basisschool Sint-Lodewijkscollege;Octopus;1;Voetpad;foto/koude keukenstraat.PNG;ja;20050823;Sint-Andries;51.1983573981441;3.18302431013627;15/09/2016
86;Weidestraat;Vrij Instituut Buitengewoon Beroepsonderwijs-Haverlo;Octopus;2;Bepanting;foto/weidestraat 2.PNG;ja;20050824;Assebroek;51.1939832632699;3.24295002633227;15/09/2016
39;Manitobalaan;Sint-Lodewijkscollege;Octopus;1;Voetpad;foto/manitobalaan.PNG;ja;20050817;Sint-Andries;51.1962723571822;3.19835265932655;15/09/2016
