Id;Id_tritel;Id_techn;Aanbod;Segment;Bezet;Waarvbuit;Beschikbr;Regime;Deelgem;latWGS84;loWGS84;Aangemaakt op
0;1038;103805;1;Generaal Lemanlaan (Nijverheidsstraat - Daverlostraat) paar (zuid);1;0;1;;19;51.2021089369385,51.2021089369385;3.23710210709338,3.23710210709338;12/08/2016
0;4181;418106;9;Ter Lindehof 3 (zuid);3;0;9;;15;51.2057540260987,51.2057540260987;3.20209220057316,3.20209220057316;12/08/2016
0;6012;601201;0;Dampoortstraat ( Zuidervaartje- Koolstuk) (west);1;0;0;;18;51.2204588927411,51.2204588927411,51.2204588927411,51.2204588927411,51.2204588927411,51.2204588927411,51.2204588927411,51.2204588927411,51.2204588927411,51.2204588927411,51.2204588927411,51.2204588927411;3.23560883718093,3.23560883718093,3.23560883718093,3.23560883718093,3.23560883718093,3.23560883718093,3.23560883718093,3.23560883718093,3.23560883718093,3.23560883718093,3.23560883718093,3.23560883718093;12/08/2016
0;4202;420202;22;Witte-Beesrstraat (oost);2;0;0;;15;51.2048014984556,51.2048014984556;3.20739565652662,3.20739565652662;12/08/2016
0;4012;401304;40;Bevrijdingslaan P+R onpaar (zuid);38;1;40;;15;51.2115120409298,51.2115120409298,51.2115120409298,51.2115120409298,51.2115120409298,51.2115120409298,51.2115120409298,51.2115120409298,51.2115120409298;3.20723786060599,3.20723786060599,3.20723786060599,3.20723786060599,3.20723786060599,3.20723786060599,3.20723786060599,3.20723786060599,3.20723786060599;12/08/2016
0;3046;304602;11;Karel de Stoutelaan ( de Floulaan- Van Hoonackerstraat) paar ( oost);8;0;11;;16;51.2154610302318,51.2154610302318,51.2154610302318,51.2154610302318,51.2154610302318;3.20507666185922,3.20507666185922,3.20507666185922,3.20507666185922,3.20507666185922;12/08/2016
0;0;501103;0;R30 (bocht - Koolkerkse Steenweg) paar (zuid);0;0;0;;17;51.2228800906106,51.2228800906106,51.2228800906106,51.2228800906106,51.2228800906106,51.2228800906106,51.2228800906106,51.2228800906106;3.23154172276809,3.23154172276809,3.23154172276809,3.23154172276809,3.23154172276809,3.23154172276809,3.23154172276809,3.23154172276809;12/08/2016
0;3002;300201;35;Diksmuidestraat (Kolenkaai- IJzerstraat) (noord);12;0;35;;16;51.2207915478424,51.2207915478424,51.2207915478424,51.2207915478424,51.2207915478424,51.2207915478424,51.2207915478424;3.2195184195281,3.2195184195281,3.2195184195281,3.2195184195281,3.2195184195281,3.2195184195281,3.2195184195281;12/08/2016
0;3073;307303;5;Leopold II laan (Scheepsdalelaan- Houthulststraat) paar (zuid);5;0;5;;16;51.2178143910588,51.2178143910588;3.21213879210627,3.21213879210627;12/08/2016
0;0;699203;47;Damse Vaart Zuid (R30-brug) (zuid);31;0;47;;18;51.2236518522168,51.2236518522168,51.2236518522168,51.2236518522168,51.2236518522168,51.2236518522168,51.2236518522168,51.2236518522168;3.23915947668122,3.23915947668122,3.23915947668122,3.23915947668122,3.23915947668122,3.23915947668122,3.23915947668122,3.23915947668122;12/08/2016
0;0;110201;10; Arnoldine Van den Radestraat ( Idestraat-plein);1;0;10;;19;51.2035397465838,51.2035397465838,51.2035397465838,51.2035397465838,51.2035397465838,51.2035397465838,51.2035397465838,51.2035397465838,51.2035397465838;3.23900247834392,3.23900247834392,3.23900247834392,3.23900247834392,3.23900247834392,3.23900247834392,3.23900247834392,3.23900247834392,3.23900247834392;12/08/2016
0;4191;419402;19;Torhoutse Steenweg (Sint-Sebastiaansstraat - Sint-Baafsstraat) paar (west);16;0;19;;15;51.1999371748538,51.1999371748538;3.20356567754853,3.20356567754853;12/08/2016
0;0;501001;10;Fort Lapin (Havenstraat - Dudzeelse Steenweg) onpaar (noord);0;0;10;;17;51.2231176213382,51.2231176213382,51.2231176213382;3.22961112399211,3.22961112399211,3.22961112399211;12/08/2016
0;5038;503804;8;Ronsaardbekestraat (Koolkerkse Steenweg - Dokwerkersstraat) onpaar (noord);2;0;8;;17;51.2249710145598,51.2249710145598,51.2249710145598,51.2249710145598;3.23411508729071,3.23411508729071,3.23411508729071,3.23411508729071;12/08/2016
0;0;501101;15;R30 (Havenstraat - bocht);4;0;15;vrachtwagenparkeren;17;51.2226039993943,51.2226039993943,51.2226039993943,51.2226039993943,51.2226039993943,51.2226039993943,51.2226039993943,51.2226039993943,51.2226039993943,51.2226039993943,51.2226039993943;3.22718031100398,3.22718031100398,3.22718031100398,3.22718031100398,3.22718031100398,3.22718031100398,3.22718031100398,3.22718031100398,3.22718031100398,3.22718031100398,3.22718031100398;12/08/2016
0;1021;102102;12;C. van de Walle de Ghelckestraat paar (zuid);7;0;12;;19;51.1975380627889,51.1975380627889;3.23307584802554,3.23307584802554;12/08/2016
0;4006;400601;15;Acht Zaligheden paar (noord);0;0;15;;15;51.2064632534111,51.2064632534111,51.2064632534111,51.2064632534111,51.2064632534111,51.2064632534111;3.20574009746495,3.20574009746495,3.20574009746495,3.20574009746495,3.20574009746495,3.20574009746495;12/08/2016
0;3001;300101;10;Baron Joseph Ryelandtstraat ( Dujardinstraat- de Neckerestraat) paar ( oost);10;0;10;;16;51.2159665422099,51.2159665422099;3.21029698304112,3.21029698304112;12/08/2016
0;3039;303905;0;Karel de Floustraat ( Karel de Stoutelaan- Maria van Bourgondielaan);0;0;0;;16;51.2154688650607,51.2154688650607,51.2154688650607,51.2154688650607,51.2154688650607,51.2154688650607,51.2154688650607,51.2154688650607,51.2154688650607,51.2154688650607;3.20328296966833,3.20328296966833,3.20328296966833,3.20328296966833,3.20328296966833,3.20328296966833,3.20328296966833,3.20328296966833,3.20328296966833,3.20328296966833;12/08/2016
0;3081;308102;6;Luikstraat (Leopold II laan- Mercierstraat) onpaar (west);2;0;6;;16;51.219440689343,51.219440689343;3.21776727855395,3.21776727855395;12/08/2016
0;4073;407305;41;Jan Breydellaan (Hovenierslanden - Peter Benoitlaan) paar (oost);10;1;41;;15;51.2092967056868,51.2092967056868,51.2092967056868,51.2092967056868,51.2092967056868;3.20704209518065,3.20704209518065,3.20704209518065,3.20704209518065,3.20704209518065;12/08/2016
0;1023;102302;0;Cesar Gezellestraat (Van Steenestraat - Evert van Het Padstraat) onpaar (noord);0;0;0;;19;51.2005926725656,51.2005926725656,51.2005926725656,51.2005926725656;3.23996104748508,3.23996104748508,3.23996104748508,3.23996104748508;12/08/2016
0;6021;602103;13;Julius Dooghelaan (Karel Van Manderstraat- Tuiniersstraat ) onpaar (noord);7;0;13;;18;51.2173147963279,51.2173147963279;3.24044217957696,3.24044217957696;12/08/2016
0;6020;602001;7;Julius Delaplacestraat ( Dampoortstraat- Tuinierstraat) onpaar (oost);6;0;7;;18;51.2166445461039,51.2166445461039;3.23991036584047,3.23991036584047;12/08/2016
0;0;699501;22; De Tuintjes;2;0;22;;18;51.2212384689418,51.2212384689418,51.2212384689418,51.2212384689418,51.2212384689418;3.24030299366157,3.24030299366157,3.24030299366157,3.24030299366157,3.24030299366157;12/08/2016
0;6013;601304;17;Dampoortstraat (Laurinstraat - Moerkerkse Steenweg) onpaar ( oost);8;0;17;;18;51.2137944236694,51.2137944236694,51.2137944236694,51.2137944236694;3.2414350884744,3.2414350884744,3.2414350884744,3.2414350884744;12/08/2016
0;6004;600404;11;Beaupréstraat (Speelpleinstraat- bocht) paar (west);2;0;11;;18;51.2084075316124,51.2084075316124,51.2084075316124,51.2084075316124,51.2084075316124,51.2084075316124;3.24319977587981,3.24319977587981,3.24319977587981,3.24319977587981,3.24319977587981,3.24319977587981;12/08/2016
0;4073;407302;13;Jan Breydellaan (Hovenierslanden - Peter Benoitlaan) onpaar (west);9;0;13;;15;51.2092062080854,51.2092062080854,51.2092062080854,51.2092062080854,51.2092062080854;3.2067952849983,3.2067952849983,3.2067952849983,3.2067952849983,3.2067952849983;12/08/2016
0;6064;606402;20;Sportstraat ( Korte Sportstraat- Karel van Manderstraat) onpaar ( noord);12;0;20;;18;51.2188909712037,51.2188909712037,51.2188909712037;3.23924337754346,3.23924337754346,3.23924337754346;12/08/2016
0;3086;308602;15;Gomberstraat ( Leopold II laan- Werfstraat) paar (oost);12;1;15;;16;51.2198893248221,51.2198893248221;3.21921402130855,3.21921402130855;12/08/2016
0;5038;503805;15;Ronsaardbekestraat (Dudzeelse Steenweg - Ter Looigemweg) paar (zuid);0;0;15;;17;51.2254402819988,51.2254402819988,51.2254402819988,51.2254402819988,51.2254402819988,51.2254402819988;3.22844338496861,3.22844338496861,3.22844338496861,3.22844338496861,3.22844338496861,3.22844338496861;12/08/2016
0;0;610402;11;De Mote (rusthuis) (west);1;0;11;;18;51.2083857733597,51.2083857733597;3.24456734629724,3.24456734629724;12/08/2016
