Deelgemeente;Straat;Locatie;element;aantal;latWGS84;loWGS84;Aangemaakt op
Centrum;Markt;;draadbanken;20;51.2088650069348,51.2088650069348,51.2088650069348,51.2088650069348,51.2088650069348,51.2088650069348,51.2088650069348,51.2088650069348,51.2088650069348,51.2088650069348,51.2088650069348,51.2088650069348,51.2088650069348,51.2088650069348,51.2088650069348,51.2088650069348,51.2088650069348,51.2088650069348,51.2088650069348,51.2088650069348;3.22392075499921,3.22392075499921,3.22392075499921,3.22392075499921,3.22392075499921,3.22392075499921,3.22392075499921,3.22392075499921,3.22392075499921,3.22392075499921,3.22392075499921,3.22392075499921,3.22392075499921,3.22392075499921,3.22392075499921,3.22392075499921,3.22392075499921,3.22392075499921,3.22392075499921,3.22392075499921;22/06/2016
Sint-Andries;Lange Molenstraat;verbinding Molenijzer;banken met betonsokkel;2;51.1872468076381,51.1872468076381;3.18015136042115,3.18015136042115;22/06/2016
Sint-Kruis;Pijpeweg;huisnr10;banken met betonsokkel;1;51.2109285817317;3.28489226150101;22/06/2016
Sint-Pieters;Wilgenstraat;thv nr 19;zwanehalsbank;3;51.2316152662619,51.2316152662619,51.2316152662619;3.2089060639718,3.2089060639718,3.2089060639718;22/06/2016
Sint-Pieters;Steenkaai;park;banken met betonsokkel;6;51.2179146766118;3.20294142348983;22/06/2016
Centrum;Guido Gezellewarande;speelplein;picknickbanken;2;51.2137460279083,51.2137460279083;3.23691953374163,3.23691953374163;22/06/2016
Sint-Andries;Dennenhof;petanque;banken met betonsokkel;2;51.2052663726617,51.2052663726617;3.18689067623365,3.18689067623365;22/06/2016
Zeebrugge;Zeedijk;;banken met arduinen sokkel;41;51.3272668530904,51.3272668530904,51.3272668530904,51.3272668530904,51.3272668530904,51.3272668530904,51.3272668530904,51.3272668530904,51.3272668530904,51.3272668530904,51.3272668530904,51.3272668530904,51.3272668530904,51.3272668530904,51.3272668530904,51.3272668530904,51.3272668530904,51.3272668530904,51.3272668530904,51.3272668530904,51.3272668530904,51.3272668530904,51.3272668530904,51.3272668530904,51.3272668530904,51.3272668530904,51.3272668530904,51.3272668530904,51.3272668530904,51.3272668530904,51.3272668530904,51.3272668530904,51.3272668530904,51.3272668530904,51.3272668530904,51.3272668530904,51.3272668530904,51.3272668530904,51.3272668530904,51.3272668530904,51.3272668530904;3.17160569872359,3.17160569872359,3.17160569872359,3.17160569872359,3.17160569872359,3.17160569872359,3.17160569872359,3.17160569872359,3.17160569872359,3.17160569872359,3.17160569872359,3.17160569872359,3.17160569872359,3.17160569872359,3.17160569872359,3.17160569872359,3.17160569872359,3.17160569872359,3.17160569872359,3.17160569872359,3.17160569872359,3.17160569872359,3.17160569872359,3.17160569872359,3.17160569872359,3.17160569872359,3.17160569872359,3.17160569872359,3.17160569872359,3.17160569872359,3.17160569872359,3.17160569872359,3.17160569872359,3.17160569872359,3.17160569872359,3.17160569872359,3.17160569872359,3.17160569872359,3.17160569872359,3.17160569872359,3.17160569872359;22/06/2016
Sint-Andries;Oorlogsvrijwilligerslaan;Weeldestuk;banken met betonsokkel;2;51.1845853728703,51.1845853728703;3.18066166505479,3.18066166505479;22/06/2016
Sint-Pieters;Ganzenpad;;zwanehalsbank;2;51.2333547036887,51.2333547036887;3.2116297606292,3.2116297606292;22/06/2016
Centrum;Sentillenhof;op plein;zwanehalsbank;2;51.201107547579,51.201107547579;3.22967061840906,3.22967061840906;22/06/2016
Sint-Michiels;Vlierstraat;speelplein;banken met betonsokkel;3;51.190690116751,51.190690116751,51.190690116751;3.20510957514724,3.20510957514724,3.20510957514724;22/06/2016
Sint-Michiels;Veeweide;petanqueplein;banken met betonsokkel;2;51.1740625632178,51.1740625632178;3.21526322898356,3.21526322898356;22/06/2016
Sint-Andries;Knotwilgenlaan;plein voor kerk thv nr 14;banknen met betonsokkel;1;51.2074065405738;3.18304530604164;22/06/2016
Centrum;Begijenvest;kant van station;zwanehalsbank;2;51.1987954225006,51.1987954225006;3.21970775503305,3.21970775503305;22/06/2016
Sint-Andries;Molenroede;thv nr 8;banken met betonsokkel;1;51.1876009955858;3.17941762359311;22/06/2016
Sint-Kruis;Brieversweg;huisnr 408;banken met betonsokkel;1;51.2117004032295;3.28641489365412;22/06/2016
Sint-Kruis;Moerkerkse Steenweg;huisnr 561;banken met betonsokkel;1;51.2208365383015;3.277070331611;22/06/2016
Zwankendamme;Doornweg;tss 52-54, 72, 82-84;banken met betonsokkel;3;51.3075349099685,51.3075349099685,51.3075349099685;3.19703325807628,3.19703325807628,3.19703325807628;22/06/2016
Sint-Kruis;Babbaertstraat;huisnr 13, 35;banken met betonsokkel;2;51.2172067426737,51.2172067426737;3.27077454738567,3.27077454738567;22/06/2016
Dudzele;Damse Steenweg;school;banken met betonsokkel;3;51.2754533395414,51.2754533395414,51.2754533395414;3.23263275948836,3.23263275948836,3.23263275948836;22/06/2016
Sint-Michiels;'t Speelhof;bikeparcours;banken met betonsokkel;1;51.1907192834477;3.20089857841716;22/06/2016
Assebroek;Egied Strubbestraat;pleintje de Kaproenen;draadbanken;4;51.2002179045774,51.2002179045774,51.2002179045774,51.2002179045774;3.24618809705699,3.24618809705699,3.24618809705699,3.24618809705699;22/06/2016
Sint-Andries;Schaapsgras;;banken met betonsokkel;4;51.1833477038495,51.1833477038495,51.1833477038495,51.1833477038495;3.17835878162659,3.17835878162659,3.17835878162659,3.17835878162659;22/06/2016
Sint-Kruis;Moerkerkse Steenweg;centrum gemeenteplein;houten banken;2;51.2143802105238,51.2143802105238;3.24863716234476,3.24863716234476;22/06/2016
Centrum;Predikherenrei;hoek Langestraat;zwanehalsbank;1;51.209656646057;3.23138249268614;22/06/2016
Sint-Andries²;Olympia;naast veld 13;banken met betonsokkel;1;51.1925798623334;3.18164405030501;22/06/2016
Centrum;Oostmeers;Oud Sint-Jan;houten banken;2;51.2045932012791,51.2045932012791;3.22281540912874,3.22281540912874;22/06/2016
Sint-Jozef;Rozenpad;to nr 10 en 20;banken met betonsokkel;2;51.2318285066546,51.2318285066546;3.2306277052807,3.2306277052807;22/06/2016
Centrum;Oosterlingenplein;;draadbanken;1;51.2129286280652;3.22626943615596;22/06/2016
Christus-Koning;Koningin Elisabethlaan;hoek Vlamingdam;zwanehalsbank;1;51.2178746399466;3.22017155659179;22/06/2016
Sint-Kruis;Petegemstraat;speelplein voor jonge kinderen;banken met betonsokkel;4;51.2156464685172,51.2156464685172,51.2156464685172,51.2156464685172;3.27309739580983,3.27309739580983,3.27309739580983,3.27309739580983;22/06/2016
Assebroek;Daverlostraat;Domein 'De Lelie';banken met betonsokkel;3;51.1971504149759,51.1971504149759,51.1971504149759;3.24119339926942,3.24119339926942,3.24119339926942;22/06/2016
Sint-Andries;Chartreuzinnegoed;;houten banken met tafel;2;51.1785484074636,51.1785484074636;3.16186557430941,3.16186557430941;22/06/2016
Sint-Kruis;Altebijstraat;thv kapel;banken met betonsokkel;1;51.2080172835857;3.24147136902147;22/06/2016
Sint-Jozef;Sikkelstraat;speelplein;banken met betonsokkel;3;51.2460149587705,51.2460149587705,51.2460149587705;3.22990291824002,3.22990291824002,3.22990291824002;22/06/2016
Sint-Andries;Gistelse Steenweg;Sint-Baafs;banken met betonsokkel;4;51.2020895503036,51.2020895503036,51.2020895503036,51.2020895503036;3.20402109107616,3.20402109107616,3.20402109107616,3.20402109107616;22/06/2016
Centrum;Sint-Annaplein;;zwanehalsbank;4;51.2121827870611,51.2121827870611,51.2121827870611,51.2121827870611;3.2320902909345,3.2320902909345,3.2320902909345,3.2320902909345;22/06/2016
Centrum;Rolweg;museum;speciale banken;2;51.2147967465901,51.2147967465901;3.23748817478562,3.23748817478562;22/06/2016
Centrum;Langerei;aan bushalte r.o. nr 48;zwanehalsbank;1;51.2171379123702;3.22846734832284;22/06/2016
Centrum;Kruisvest;;houten banken;1;51.2204372365024;3.23402055136265;22/06/2016
Centrum;Dijver;;bank arduinen sokkel (dubbel);4;51.2059740331326,51.2059740331326,51.2059740331326,51.2059740331326;3.22551546274152,3.22551546274152,3.22551546274152,3.22551546274152;22/06/2016
Sint-Andries;Betferkerklaan;op hoek van Grote Ede;banken met betonsokkel;1;51.1876127842101;3.18243606400497;22/06/2016
Centrum;Rolweg;museum;zwanehalsbank;2;51.2145596321925,51.2145596321925;3.23765629365765,3.23765629365765;22/06/2016
Centrum;Burg;;zwanehalsbank;26;51.2091741294307,51.2091741294307,51.2091741294307,51.2091741294307,51.2091741294307,51.2091741294307,51.2091741294307,51.2091741294307,51.2091741294307,51.2091741294307,51.2091741294307,51.2091741294307,51.2091741294307,51.2091741294307,51.2091741294307,51.2091741294307,51.2091741294307,51.2091741294307,51.2091741294307,51.2091741294307,51.2091741294307,51.2091741294307,51.2091741294307,51.2091741294307,51.2091741294307,51.2091741294307;3.22640748143992,3.22640748143992,3.22640748143992,3.22640748143992,3.22640748143992,3.22640748143992,3.22640748143992,3.22640748143992,3.22640748143992,3.22640748143992,3.22640748143992,3.22640748143992,3.22640748143992,3.22640748143992,3.22640748143992,3.22640748143992,3.22640748143992,3.22640748143992,3.22640748143992,3.22640748143992,3.22640748143992,3.22640748143992,3.22640748143992,3.22640748143992,3.22640748143992,3.22640748143992;22/06/2016
Sint-Pieters;Rustenburgstraat;op grasplein;zwanehalsbank;8;51.220114152446,51.220114152446,51.220114152446,51.220114152446,51.220114152446,51.220114152446,51.220114152446,51.220114152446;3.2054108915833,3.2054108915833,3.2054108915833,3.2054108915833,3.2054108915833,3.2054108915833,3.2054108915833,3.2054108915833;22/06/2016
;;;;0;51.2121506629027;3.23393424732735;22/06/2016
Centrum;Hof Arents;;zwanehalsbank;0;51.2051873221183,51.2051873221183,51.2051873221183,51.2051873221183,51.2051873221183,51.2051873221183,51.2051873221183,51.2051873221183;3.2252912285791,3.2252912285791,3.2252912285791,3.2252912285791,3.2252912285791,3.2252912285791,3.2252912285791,3.2252912285791;22/06/2016
Centrum;Kartuizerinnenstraat;binnenkoer van de gebouwen van de p;zwanehalsbank;3;51.2066102352001,51.2066102352001,51.2066102352001;3.22563454756867,3.22563454756867,3.22563454756867;22/06/2016
Sint-Kruis;Dr. Zamenhoflaan;rechtover nr 20;banken met betonsokkel;1;51.2156320926964;3.26258779561028;22/06/2016
Centrum;Prinsenhof;;speciale banken;3;51.2083329228194,51.2083329228194,51.2083329228194;3.22019794290621,3.22019794290621,3.22019794290621;22/06/2016
Centrum;Komvest;op plein aan petanqueveld;zwanehalsbank;2;51.218813983831,51.218813983831;3.22119655376873,3.22119655376873;22/06/2016
Sint-Andries;Edgard De Smedtplantsoen;dolomietplein;banken met betonsokkel;6;51.2017684382975,51.2017684382975,51.2017684382975,51.2017684382975,51.2017684382975,51.2017684382975;3.20813522584162,3.20813522584162,3.20813522584162,3.20813522584162,3.20813522584162,3.20813522584162;22/06/2016
Sint-Andries;Edgard De Smedtplantsoen;petanque;picknickbank;1;51.2020439437357;3.20775022557789;22/06/2016
Centrum;Koning Albertlaan;standbeeld;zwanehalsbank;22;51.2020218955405,51.2020218955405,51.2020218955405,51.2020218955405,51.2020218955405,51.2020218955405,51.2020218955405,51.2020218955405,51.2020218955405,51.2020218955405,51.2020218955405,51.2020218955405,51.2020218955405,51.2020218955405,51.2020218955405,51.2020218955405,51.2020218955405,51.2020218955405,51.2020218955405,51.2020218955405,51.2020218955405,51.2020218955405;3.21853814610872,3.21853814610872,3.21853814610872,3.21853814610872,3.21853814610872,3.21853814610872,3.21853814610872,3.21853814610872,3.21853814610872,3.21853814610872,3.21853814610872,3.21853814610872,3.21853814610872,3.21853814610872,3.21853814610872,3.21853814610872,3.21853814610872,3.21853814610872,3.21853814610872,3.21853814610872,3.21853814610872,3.21853814610872;22/06/2016
Assebroek;Vinkenplein;petanqueplein;banken met betonsokkel;2;51.2045823782755,51.2045823782755;3.24963787886921,3.24963787886921;22/06/2016
Centrum;Gruuthusestraat;Gruuthuse;bank met arduinen sokkel;4;51.2049890950146,51.2049890950146,51.2049890950146,51.2049890950146;3.22480538507986,3.22480538507986,3.22480538507986,3.22480538507986;22/06/2016
Sint-Pieters;Steenkaai;park;banken met betonsokkel;6;51.2179234229165;3.20300578899314;22/06/2016
Centrum;Onze-Lieve-Vrouwekerkhof-Zuid;;zwanehalsbank;2;51.2043058142777,51.2043058142777;3.22437202407113,3.22437202407113;22/06/2016
Zeebrugge;Venetiëstraat;speelplein;banken met betonsokkel;2;51.3264018252755,51.3264018252755;3.19285731037548,3.19285731037548;22/06/2016
Sint-Pieters;Lodewijk Gilliodtsplein;thv nr 22 en 25;banken met betonsokkel;2;51.2246600853557,51.2246600853557;3.20857332520379,3.20857332520379;22/06/2016
Centrum;Jakobinessenstraat;speelterrein;zwanehalsbank;2;51.2030948085053,51.2030948085053;3.2319408545827,3.2319408545827;22/06/2016
Zwankendamme;Zwankendammestraat;plein;banken met betonsokkel;6;51.3111810479472,51.3111810479472,51.3111810479472,51.3111810479472,51.3111810479472,51.3111810479472;3.19544568997599,3.19544568997599,3.19544568997599,3.19544568997599,3.19544568997599,3.19544568997599;22/06/2016
Lissewege;Jacob Reyvaertstraat;t.o. nr 46;banken met betonsokkel;2;51.2947559268736,51.2947559268736;3.20236180361524,3.20236180361524;22/06/2016
Sint-Andries;Tudor;picknickbanken;;2;51.1706639829168,51.1706639829168;3.16955171279802,3.16955171279802;22/06/2016
Zeebrugge;Venetiëstraat;aan station;banken met betonsokkel;3;51.3265578552764,51.3265578552764,51.3265578552764;3.19492118910912,3.19492118910912,3.19492118910912;22/06/2016
Assebroek;Gaston Roelandtsplein;op plein;banken met betonsokkel;25;51.200997111438,51.200997111438,51.200997111438,51.200997111438,51.200997111438;3.24660283025713,3.24660283025713,3.24660283025713,3.24660283025713,3.24660283025713;22/06/2016
Christus-Koning;Filips de Goedelaan;;smeedijzeren banken (oud type);1;51.2150357171582;3.2149588104199;22/06/2016
Sint-Kruis;Moerkerkse Steenweg;De Zorghe;banken met betonsokkel;3;51.2143037456653,51.2143037456653,51.2143037456653;3.25207087934649,3.25207087934649,3.25207087934649;22/06/2016
Sint-Jozef;Pannebekestraat;speelplein;zwanehalsbank;2;51.2273188001011,51.2273188001011;3.23200568083977,3.23200568083977;22/06/2016
Centrum;Ketsbruggestraat;;;2;51.1973083092076,51.1973083092076;3.22325985984374,3.22325985984374;22/06/2016
Zeebrugge;Admiraal Keyesplein;ter hoogte van monument;banken met betonsokkel;2;51.3325517136976,51.3325517136976;3.21183816266613,3.21183816266613;22/06/2016
Centrum;'t Zand;;banken type 't Zand (enkel);4;51.205446259733,51.205446259733,51.205446259733,51.205446259733;3.21793721279973,3.21793721279973,3.21793721279973,3.21793721279973;22/06/2016
Centrum;Vismarkt;;bank arduinen sokkel (dubbel);6;51.2080761206423,51.2080761206423,51.2080761206423,51.2080761206423,51.2080761206423,51.2080761206423;3.22790840353062,3.22790840353062,3.22790840353062,3.22790840353062,3.22790840353062,3.22790840353062;22/06/2016
Sint-Michiels;Parklaan;plein;banken met betonsokkel;1;51.1839223902023;3.2208777324117;22/06/2016
Centrum;Jan Boninstraat;tegenover garages;draadbanken;1;51.2130891137725;3.21927088450127;22/06/2016
Sint-Kruis;Engelendalelaan;huisnr 7 en naast nr 39;banken met betonsokkel;2;51.2063146135262,51.2063146135262;3.27050320626083,3.27050320626083;22/06/2016
Sint-Michiels;Parklaan;speelplein;banken met betonsokkel;20;51.1835646021346,51.1835646021346,51.1835646021346,51.1835646021346;3.22186379205854,3.22186379205854,3.22186379205854,3.22186379205854;22/06/2016
Dudzele;Dorpsplein;aan bushalte;draadbanken;2;51.2723595052664,51.2723595052664;3.22399028127772,3.22399028127772;22/06/2016
Sint-Kruis;Sprietwegestraat;speelplein;banken met betonsokkel;1;51.2062445283368;3.26360171689915;22/06/2016
Sint-Andries;Peter Benoitlaan;kant Ter Lindehof;banken met betonsokkel;1;51.206802035869;3.20231508243368;22/06/2016
Sint-Andries;Noordbruggestraat;op plein einde van de straat;banken met betonsokkel;1;51.209113405382;3.19418027974949;22/06/2016
Assebroek;Lorreinenhoek;speelplein;banken met betonsokkel;4;51.1938413973794,51.1938413973794,51.1938413973794,51.1938413973794;3.2695683711605,3.2695683711605,3.2695683711605,3.2695683711605;22/06/2016
Sint-Michiels;Kerkebeekpad;wandelpad;banken met betonsokkel;4;51.1858203314768,51.1858203314768,51.1858203314768,51.1858203314768;3.21335555814339,3.21335555814339,3.21335555814339,3.21335555814339;22/06/2016
Centrum;Bilkske;aan plein tegenaan vesten;picknicktafels;2;51.2078805288567,51.2078805288567,51.2078805288567;3.23855612413365,3.23855612413365,3.23855612413365;22/06/2016
Centrum;Boeveriestraat;voor Boeverieschool;zwanehalsbank;2;51.2005147970088,51.2005147970088;3.21586008854615,3.21586008854615;22/06/2016
Sint-Andries;Hertogenstraat;speelplein;banken met betonsokkel;4;51.1989632199275,51.1989632199275,51.1989632199275,51.1989632199275;3.20029019697163,3.20029019697163,3.20029019697163,3.20029019697163;22/06/2016
Centrum;Boninvest;;zwanehalsbank;3;51.2032416410349,51.2032416410349,51.2032416410349;3.23480204478909,3.23480204478909,3.23480204478909;22/06/2016
Sint-Andries;Gistelse Steenweg;Terminus;banken met betonsokkel;1;51.1960510812507;3.17420581810941;22/06/2016
Sint-Andries;Gistelse Steenweg;kerkhof;draadbanken;2;51.1961543804409,51.1961543804409;3.17974008743419,3.17974008743419;22/06/2016
Sint-Michiels;Kortebrugge;aan wandelpad thv appartement;banken met betonsokkel;1;51.1743221384829;3.21052262906095;22/06/2016
Sint-Andries;Koude Keuken;speelplein;banken met betonsokkel;6;51.2034124689104,51.2034124689104,51.2034124689104,51.2034124689104,51.2034124689104,51.2034124689104;3.18148102627303,3.18148102627303,3.18148102627303,3.18148102627303,3.18148102627303,3.18148102627303;22/06/2016
Assebroek;Blauwvoetstraat;;banken met betonsokkel;2;51.2029779722471,51.2029779722471;3.25768950291702,3.25768950291702;22/06/2016
Centrum;Oostmeers;thv Mariastraat;zwanehalsbank;9;51.2044430235842,51.2044430235842,51.2044430235842,51.2044430235842,51.2044430235842,51.2044430235842,51.2044430235842,51.2044430235842,51.2044430235842;3.22322308992193,3.22322308992193,3.22322308992193,3.22322308992193,3.22322308992193,3.22322308992193,3.22322308992193,3.22322308992193,3.22322308992193;22/06/2016
Sint-Pieters;Kasteelgeleed;op hoek van grasveld;banken met betonsokkel;1;51.2242075109092;3.21134914740885;22/06/2016
Sint-Kruis;Bisschopsdreef;huisnr 6,20,36,53;banken met betonsokkel;4;51.2154699550981,51.2154699550981,51.2154699550981,51.2154699550981;3.25420363012899,3.25420363012899,3.25420363012899,3.25420363012899;22/06/2016
Dudzele;Stokerij;;banken met betonsokkel;3;51.2728770928551,51.2728770928551,51.2728770928551;3.22851299937432,3.22851299937432,3.22851299937432;22/06/2016
Sint-Andries;Gistelse Steenweg;gemeenteplein;houten banken;2;51.1973962070916,51.1973962070916;3.18119139478098,3.18119139478098;22/06/2016
Sint-Andries;Olympia;bocht clubwinkel;banken met betonsokkel;3;51.1939211780969,51.1939211780969,51.1939211780969;3.17904264681569,3.17904264681569,3.17904264681569;22/06/2016
Sint-Kruis;Leopold Debruynestraat;speelplein De Tandem;banken met betonsokkel;3;51.2110682353616,51.2110682353616,51.2110682353616;3.25255973638115,3.25255973638115,3.25255973638115;22/06/2016
Sint-Andries;Hubrecht De Crookstraat;speelplein;banken met betonsokkel;2;51.1998742564504,51.1998742564504;3.186898100788,3.186898100788;22/06/2016
Sint-Andries;Magdalenastraat;hoek Stationslaan;banken met betonsokkel;1;51.2018064834683;3.21118896827894;22/06/2016
Assebroek;Rijkeveldestraat;onder houten gebouwtje naast spoorw;banken met betonsokkel;2;51.1984294985307,51.1984294985307;3.27609485247925,3.27609485247925;22/06/2016
Sint-Pieters;Beekweg;aan parking;banken met betonsokkel;3;51.2237523382758,51.2237523382758,51.2237523382758;3.20971795772945,3.20971795772945,3.20971795772945;22/06/2016
Centrum;Gentpoortvest;;zwanehalsbank;15;51.1998718660541,51.1998718660541,51.1998718660541,51.1998718660541,51.1998718660541,51.1998718660541,51.1998718660541,51.1998718660541,51.1998718660541,51.1998718660541,51.1998718660541,51.1998718660541,51.1998718660541,51.1998718660541,51.1998718660541;3.22999590127097,3.22999590127097,3.22999590127097,3.22999590127097,3.22999590127097,3.22999590127097,3.22999590127097,3.22999590127097,3.22999590127097,3.22999590127097,3.22999590127097,3.22999590127097,3.22999590127097,3.22999590127097,3.22999590127097;22/06/2016
Sint-Michiels;'t Kloosterhof;hoek St-Michielslaan;banken met betonsokkel;1;51.1794054132231;3.21947507164082;22/06/2016
Sint-Pieters;Tempelhof;kerkhof;draadbanken;2;51.2290405136141,51.2290405136141;3.20456071798947,3.20456071798947;22/06/2016
Centrum;Snaggaardstraat;buurtparking;;2;51.2158981908672,51.2158981908672;3.23597057494311,3.23597057494311;22/06/2016
Assebroek;Pastoor Verhaegheplein;plein voor kerk;zwanehalsbank;4;51.1879314798041,51.1879314798041,51.1879314798041,51.1879314798041;3.2740871244174,3.2740871244174,3.2740871244174,3.2740871244174;22/06/2016
Sint-Michiels;Rijselstraat;gemeentehuis;banken met betonsokkel;4;51.1883776056676,51.1883776056676,51.1883776056676,51.1883776056676;3.21095212183043,3.21095212183043,3.21095212183043,3.21095212183043;22/06/2016
Sint-Andries;Koude Keukenstraat;hoek Zandstraat;banken met betonsokkel;1;51.2005618611682;3.18219361255826;22/06/2016
Centrum;Jan van Eyckplein;;draadbanken;5;51.2115420817229,51.2115420817229,51.2115420817229,51.2115420817229,51.2115420817229;3.22597128565648,3.22597128565648,3.22597128565648,3.22597128565648,3.22597128565648;22/06/2016
Centrum;Groenerei;;zwanehalsbank;1;51.2088748013229;3.22961569525267;22/06/2016
Christus-Koning;Werfplein;speelplein;banken met betonsokkel;3;51.2185418450675,51.2185418450675,51.2185418450675;3.21871027873909,3.21871027873909,3.21871027873909;22/06/2016
Centrum;Coupure;;zwanehalsbank;4;51.2066143129372,51.2066143129372,51.2066143129372,51.2066143129372;3.23484553868582,3.23484553868582,3.23484553868582,3.23484553868582;22/06/2016
Centrum;Steenstraat;voor kerk;draadbanken;1;51.2059283999275;3.2211629082806;22/06/2016
Centrum;Woensdagmarkt;;draadbanken;4;51.2123018567842,51.2123018567842,51.2123018567842,51.2123018567842;3.22628662768049,3.22628662768049,3.22628662768049,3.22628662768049;22/06/2016
Sint-Andries;Hesterlaan;Hoek St-Annadreef;banken met betonsokkel;1;51.192985849136;3.17225554734365;22/06/2016
Sint-Andries;Fort Zevenbergen;speelplein;banken met betonsokkel;3;51.1920894166412,51.1920894166412,51.1920894166412;3.19403323797759,3.19403323797759,3.19403323797759;22/06/2016
Lissewege;Onder de Toren;kerkhof;draadbanken;2;51.2944721933693,51.2944721933693;3.1988534540035,3.1988534540035;22/06/2016
Centrum;Bargeweg;Esplanade;banken met betonsokkel;10;51.1964079520857,51.1964079520857,51.1964079520857,51.1964079520857,51.1964079520857,51.1964079520857,51.1964079520857,51.1964079520857,51.1964079520857,51.1964079520857;3.22710170640699,3.22710170640699,3.22710170640699,3.22710170640699,3.22710170640699,3.22710170640699,3.22710170640699,3.22710170640699,3.22710170640699,3.22710170640699;22/06/2016
Sint-Kruis;Kastanjelaan;huisnr14;banken met betonsokkel;1;51.2111878330736;3.26530562541408;22/06/2016
Dudzele;Bossiersgoed;eind van de straat;banken met betonsokkel;2;51.2731620552929,51.2731620552929;3.22297849046676,3.22297849046676;22/06/2016
Sint-Jozef;Cornelis Everaartstraat;petanqueplein;banken met betonsokkel;2;51.2283673164979,51.2283673164979;3.23657397609763,3.23657397609763;22/06/2016
Centrum;Hoogstuk;garages;banken met betonsokkel;1;51.2064799052475;3.23629881227328;22/06/2016
Assebroek;Zuiderakker;hoek Vossensteert;banken met betonsokkel;1;51.2024096532306;3.26146790908319;22/06/2016
Centrum;Sint-Jakobsstraat;aan kerk;zwanehalsbank;1;51.2108204515657;3.22085994249187;22/06/2016
Sint-Michiels;Stokveldewijk;bejaarden;banken met betonsokkel;2;51.1740574326171,51.1740574326171;3.21295895530272,3.21295895530272;22/06/2016
Sint-Kruis;Akkerstraat;speelplein;banken met betonsokkel;1;51.2121732678024;3.25779896541489;22/06/2016
Lissewege;Scharphoutstraat;petanqueveld;banken met betonsokkel;2;51.297402865274,51.297402865274;3.1879906490278,3.1879906490278;22/06/2016
Sint-Pieters;Poelweg;op speelplein;banken met betonsokkel;2;51.2339139451171,51.2339139451171;3.20850371649612,3.20850371649612;22/06/2016
Sint-Pieters;Berkenpad;aan nr 9, 17 en 27;banken met betonsokkel;3;51.2347479049802,51.2347479049802,51.2347479049802;3.20917149818434,3.20917149818434,3.20917149818434;22/06/2016
Sint-Andries;Koning Leopold III-Laan;Watertoren, thv conciergewoning;zwanehalsbank;1;51.1943905279883;3.18690046557626;22/06/2016
Centrum;Stalijzerstraat;;zwanehalsbank;3;51.2047776228462,51.2047776228462,51.2047776228462;3.23183714156663,3.23183714156663,3.23183714156663;22/06/2016
Sint-Michiels;Gustaaf Vermeerschstraat;speelplein;banken met betonsokkel;1;51.1775108940145;3.22679122443936;22/06/2016
Sint-Andries;Koude Keuken;petanque;banken met betonsokkel;8;51.2011443787567,51.2011443787567,51.2011443787567,51.2011443787567,51.2011443787567,51.2011443787567,51.2011443787567,51.2011443787567;3.18053894993942,3.18053894993942,3.18053894993942,3.18053894993942,3.18053894993942,3.18053894993942,3.18053894993942,3.18053894993942;22/06/2016
Sint-Pieters;Fort Lapin;aan fietspad naast water;zwanehalsbank;4;51.2225796821005,51.2225796821005,51.2225796821005,51.2225796821005;3.22784898442169,3.22784898442169,3.22784898442169,3.22784898442169;22/06/2016
Assebroek;Brugs-Kerkhofstraat;dreef;banken met betonsokkel;2;51.1926460841859,51.1926460841859;3.23490635564299,3.23490635564299;22/06/2016
Sint-Kruis;Petegemstraat;nr 6 en 18;banken met betonsokkel;14;51.2162646937631,51.2162646937631,51.2162646937631,51.2162646937631,51.2162646937631,51.2162646937631,51.2162646937631,51.2162646937631,51.2162646937631,51.2162646937631,51.2162646937631,51.2162646937631,51.2162646937631,51.2162646937631;3.27253301851129,3.27253301851129,3.27253301851129,3.27253301851129,3.27253301851129,3.27253301851129,3.27253301851129,3.27253301851129,3.27253301851129,3.27253301851129,3.27253301851129,3.27253301851129,3.27253301851129,3.27253301851129;22/06/2016
Sint-Pieters;Berkenstraat;aan nr 26;banken met betonsokkel;2;51.2354615533676,51.2354615533676;3.21068958457646,3.21068958457646;22/06/2016
Centrum;Kruisvest;;zwanehalsbank;29;51.2204527214045,51.2204527214045,51.2204527214045,51.2204527214045,51.2204527214045,51.2204527214045,51.2204527214045,51.2204527214045,51.2204527214045,51.2204527214045,51.2204527214045,51.2204527214045,51.2204527214045,51.2204527214045,51.2204527214045,51.2204527214045,51.2204527214045,51.2204527214045,51.2204527214045,51.2204527214045,51.2204527214045,51.2204527214045,51.2204527214045,51.2204527214045,51.2204527214045,51.2204527214045,51.2204527214045,51.2204527214045,51.2204527214045;3.23382272259108,3.23382272259108,3.23382272259108,3.23382272259108,3.23382272259108,3.23382272259108,3.23382272259108,3.23382272259108,3.23382272259108,3.23382272259108,3.23382272259108,3.23382272259108,3.23382272259108,3.23382272259108,3.23382272259108,3.23382272259108,3.23382272259108,3.23382272259108,3.23382272259108,3.23382272259108,3.23382272259108,3.23382272259108,3.23382272259108,3.23382272259108,3.23382272259108,3.23382272259108,3.23382272259108,3.23382272259108,3.23382272259108;22/06/2016
Sint-Pieters;Sint-Paulusstraat;thv kerk;banken met betonsokkel;2;51.2242869248329,51.2242869248329;3.20526807166514,3.20526807166514;22/06/2016
Zwankendamme;Doornweg;aan petanqueplein;tafelbanken;1;51.3091133714155;3.19880913242699;22/06/2016
