Deelgemeente;Straat;Locatie;element;aantal;latWGS84;loWGS84;Aangemaakt op
Centrum;Hugo Verrieststraat;schietpers;zwanehalsbank;13;51.2139030951768,51.2139030951768,51.2139030951768,51.2139030951768,51.2139030951768,51.2139030951768,51.2139030951768,51.2139030951768,51.2139030951768,51.2139030951768,51.2139030951768,51.2139030951768,51.2139030951768;3.23710576762098,3.23710576762098,3.23710576762098,3.23710576762098,3.23710576762098,3.23710576762098,3.23710576762098,3.23710576762098,3.23710576762098,3.23710576762098,3.23710576762098,3.23710576762098,3.23710576762098;22/06/2016
Centrum;Stationsplein;tussen parkeergarage en winkelgebou;draadbanken;5;51.1970600242603,51.1970600242603,51.1970600242603,51.1970600242603,51.1970600242603;3.21869361943277,3.21869361943277,3.21869361943277,3.21869361943277,3.21869361943277;22/06/2016
Sint-Andries;Magdalenastraat;Sint-Lodewijkscollege;banken met betonsokkel;2;51.2007981637439,51.2007981637439;3.20893038846155,3.20893038846155;22/06/2016
Centrum;Gulden-Vlieslaan;;zwanehalsbank;11;51.2104239135454,51.2104239135454,51.2104239135454,51.2104239135454,51.2104239135454,51.2104239135454,51.2104239135454,51.2104239135454,51.2104239135454,51.2104239135454,51.2104239135454;3.21369650616898,3.21369650616898,3.21369650616898,3.21369650616898,3.21369650616898,3.21369650616898,3.21369650616898,3.21369650616898,3.21369650616898,3.21369650616898,3.21369650616898;22/06/2016
Sint-Kruis;Dekenstraat;speelplein hoek Kanselierlaan;banken met betonsokkel;3;51.2163888549699,51.2163888549699,51.2163888549699;3.27681089809039,3.27681089809039,3.27681089809039;22/06/2016
Sint-Michiels;Rijselstraat;Vesalius Instituut;banken met betonsokkel;2;51.1928539189184,51.1928539189184;3.21363884405414,3.21363884405414;22/06/2016
Centrum;Boeveriestraat;Joris Dumeryplein;zwanehalsbanken;2;51.2019638617042,51.2019638617042;3.21567303372149,3.21567303372149;22/06/2016
Sint-Jozef;Landjuwelenstraat;thv de Marmot;banken met betonsokkel;3;51.2300906892702,51.2300906892702,51.2300906892702;3.23368972272781,3.23368972272781,3.23368972272781;22/06/2016
Sint-Andries;Paul Gilsonstraat;speelplein;picknick;1;51.2075817298291;3.19947666147926;22/06/2016
Centrum;Augustijnenrei;;zwanehalsbank;4;51.2130186439189,51.2130186439189,51.2130186439189,51.2130186439189;3.22395353158628,3.22395353158628,3.22395353158628,3.22395353158628;22/06/2016
Sint-Jozef;Noorweegse Kaai;langs water;banken met betonsokkel;1;51.2296354016341;3.24951851624437;22/06/2016
Sint-Michiels;Kleine Rijselstraat;Rhetorika;banken met betonsokkel;3;51.1880924155398,51.1880924155398,51.1880924155398;3.2099947427965,3.2099947427965,3.2099947427965;22/06/2016
Centrum;Koningin Astridpark;;pic-nick banken;3;51.2055063442719,51.2055063442719,51.2055063442719;3.23229902514096,3.23229902514096,3.23229902514096;22/06/2016
Zeebrugge;Marktplein;op plein;banken met betonsokkel;4;51.331247279319,51.331247279319,51.331247279319,51.331247279319;3.20950290813304,3.20950290813304,3.20950290813304,3.20950290813304;22/06/2016
Assebroek;Konijnenpad;op hoek;banken met betonsokkel;1;51.1888546073687;3.25051095953171;22/06/2016
Sint-Andries;Tudor;grot;smeedijzern banken;2;51.171271416237,51.171271416237;3.16239651326958,3.16239651326958;22/06/2016
Centrum;Muntplein;;draadbanken;2;51.2090376244477,51.2090376244477;3.22104585607299,3.22104585607299;22/06/2016
Sint-Andries;Hoog Brabantlaan;park;banken met betonsokkel;3;51.1992240239533,51.1992240239533,51.1992240239533;3.20770785582277,3.20770785582277,3.20770785582277;22/06/2016
Assebroek;Kerkhofblommestraat;Centrale Begraafplaats;houten banken;7;51.1898975666471,51.1898975666471,51.1898975666471,51.1898975666471,51.1898975666471,51.1898975666471,51.1898975666471;3.23905234332165,3.23905234332165,3.23905234332165,3.23905234332165,3.23905234332165,3.23905234332165,3.23905234332165;22/06/2016
Christus-Koning;Baron Joseph Ryelandtstraat;hoek Gustave Vincke Dujardinstraat;zwanehalsbank;1;51.2159508299319;3.2100593770582;22/06/2016
Sint-Jozef;Paul Devauxstraat;pleintje;banken met betonsokkel;5;51.2258646782577,51.2258646782577,51.2258646782577,51.2258646782577,51.2258646782577;3.23843967564579,3.23843967564579,3.23843967564579,3.23843967564579,3.23843967564579;22/06/2016
Sint-Kruis;Montpellier;wandel- en fietspad naar Pijpeweg;banken met betonsokkel;2;51.2169957705816,51.2169957705816;3.28218834888553,3.28218834888553;22/06/2016
Sint-Andries;Ter Straten;thv eerste wandelpad;banken met betonsokkel;1;51.189372810536;3.18460245826874;22/06/2016
Sint-Michiels;Kerkebeekpad;speelgaard;banken met betonsokkel;4;51.1873331244506,51.1873331244506,51.1873331244506,51.1873331244506;3.21352280781928,3.21352280781928,3.21352280781928,3.21352280781928;22/06/2016
Zeebrugge;Duinpad;;banken met betonsokkel;7;51.3281631894042,51.3281631894042,51.3281631894042,51.3281631894042,51.3281631894042,51.3281631894042;3.18169093644271,3.18169093644271,3.18169093644271,3.18169093644271,3.18169093644271,3.18169093644271;22/06/2016
Sint-Andries;Diksmuidse Heerweg;paviljoen;banken met betonsokkel;4;51.199075061022,51.199075061022,51.199075061022,51.199075061022;3.19952930158036,3.19952930158036,3.19952930158036,3.19952930158036;22/06/2016
Sint-Kruis;Moerkerkse Steenweg;nr 519;banken met betonsokkel;1;51.2169873800259;3.27011359378342;22/06/2016
Centrum;Buiten Boeverievest;langs wandelpad;zwanehalsbank;6;51.2042450678013,51.2042450678013,51.2042450678013,51.2042450678013,51.2042450678013,51.2042450678013;3.21229065150251,3.21229065150251,3.21229065150251,3.21229065150251,3.21229065150251,3.21229065150251;22/06/2016
Koolkerke;Arendstraat;plein;banken met betonsokkel;3;51.2414855646568,51.2414855646568,51.2414855646568;3.24828700595147,3.24828700595147,3.24828700595147;22/06/2016
Centrum;Dijver;;stenen bank;2;51.2058916132313,51.2058916132313;3.22538096855499,3.22538096855499;22/06/2016
;;;;0;51.2189931760071;3.20820494847362;22/06/2016
Assebroek;Wiermeers;in wijk;banken met betonsokkel;4;51.1867628666344,51.1867628666344,51.1867628666344,51.1867628666344;3.24488888719083,3.24488888719083,3.24488888719083,3.24488888719083;22/06/2016
Sint-Pieters;Karel Mestdaghstraat;middenplein;zwanehalsbank;2;51.219679763218,51.219679763218;3.20272200893781,3.20272200893781;22/06/2016
Sint-Pieters;Blauwhuisstraat;binnenplein;banken met betonsokkel;5;51.2363943448389,51.2363943448389,51.2363943448389,51.2363943448389,51.2363943448389;3.20277482007463,3.20277482007463,3.20277482007463,3.20277482007463,3.20277482007463;22/06/2016
Sint-Kruis;Warrenplein;kerkhof;draadbanken;3;51.2160382947982,51.2160382947982,51.2160382947982;3.24996093441513,3.24996093441513,3.24996093441513;22/06/2016
Sint-Michiels;Sint-Arnolduslaan;rustoord Sint-Jozef;banken met betonsokkel;1;51.1821271942927;3.22158195975503;22/06/2016
Sint-Michiels;'t Groenhof;hoek cabine;banken met betonsokkel;1;51.1778191325406;3.22033085785721;22/06/2016
Assebroek;Astridlaan;Rondelezpark;banken met betonsokkel;2;51.1951952684493,51.1951952684493;3.25425431023865,3.25425431023865;22/06/2016
Sint-Pieters;Blankenbergse Steenweg;De Dijk;banken met betonsokkel;5;51.2290337140886,51.2290337140886,51.2290337140886,51.2290337140886,51.2290337140886;3.20481190262184,3.20481190262184,3.20481190262184,3.20481190262184,3.20481190262184;22/06/2016
Sint-Andries;Fazantenlaan;kapel;banken met betonsokkel;1;51.2014987534714;3.18270842093074;22/06/2016
Centrum;Gentpoortvest;;bank met arduinen sokkel;1;51.2016879108889;3.23241782869791;22/06/2016
