MEETPUNT_ID;X;Y;HERKENNINGSPUNT1;HERKENNINGSPUNT2;latWGS84;loWGS84;Aangemaakt op
1153;73600;210500;Rijkeveldestraat;Oude spoorwegbedding;51.1994188505141;3.27568619158159;22/06/2016
1033;66900;207800;Torhoutse steenweg;Valkenbosdreef;51.1742276442834;3.18046061521239;22/06/2016
1492;70000;221800;Margareta van Oostenrijkstraat  pijpekop;;51.3004872278559;3.22169250400544;22/06/2016
1247;74600;212500;Maleveld  einde bijweg hoek Maleveld;;51.217524606523;3.2895753327418;22/06/2016
1098;65850;209700;Bremlaan  pijpekop (west);;51.1911519552682;3.16500868808457;22/06/2016
1583;69500;225500;Polderweg draai  50m van talut Zeesluisstr;;51.3336695501613;3.213699066354;22/06/2016
1264;72600;213150;Spijkerwegel;Rooigem;51.2231027636936;3.26081619236025;22/06/2016
1046;66300;208150;Diksmuidse heerweg  einde bouwland begin bos;;51.1772866215346;3.17180236358853;22/06/2016
1440;73300;219650;Oostkerkestraat;Ronselarestraat;51.2816134303644;3.26945815413957;22/06/2016
1477;70250;221300;Margareta van Oostenrijk dienstgebouw spoorbundel;;51.2960279024072;3.22538627362186;22/06/2016
1482;72500;221000;Westkapelse steenweg;Zeekanaalweg;51.2936387960405;3.25770419030194;22/06/2016
1242;72050;212550;Warrenplein pijpekop (Pastorieweg);;51.2176355944238;3.25307243745451;22/06/2016
1093;73000;209200;Michel van Hammestraat;brug Sint-Trudoledeken;51.1876547911518;3.26737947609209;22/06/2016
1001;64650;206100;Diksmuidse heerweg;grens Zedelgem;51.1586216691283;3.14869293327613;22/06/2016
1361;68400;216900;Krinkelstraat (via Zeelaan) aan duiker Lisseweegs vaartje;;51.2562257853735;3.19985950324884;22/06/2016
1101;67050;209550;Doornstraat  parking Olympia zwembad;;51.1899768919265;3.18220632269275;22/06/2016
1452;72000;220350;Westkapelse steenweg 400m voorbij Zwiersweg NW;;51.2877299881746;3.25067670169729;22/06/2016
1487;67650;221500;Scharphoutstraat;Europastraat;51.2974604432534;3.18807051961765;22/06/2016
1025;68000;207000;Koning Albert I laan  450m Z vanaf Chartreuzeweg;;51.1671957080432;3.19636805720388;22/06/2016
1484;66000;221500;Polderbos  1400m vanaf Canadezenstraat;;51.2972224142385;3.1644187187814;22/06/2016
1182;66000;211500;Hogeweg  400m vanaf Pastorieweg richting oost;;51.2073508513414;3.1667382324427;22/06/2016
1168;70500;211000;Oude Gentweg;Jacobinessenstraat;51.2034947488223;3.23123197996807;22/06/2016
1574;69700;225100;Isabellalaan;Kiwiweg;51.3301025950021;3.216658333277;22/06/2016
1522;67250;223000;Uitkerkestraat -- eindstraat uitkerkestr op transpoetz.;;51.310883724834;3.18199282346182;22/06/2016
1146;70000;210550;Begijnenvest;Minnewaterbrug;51.1993811168399;3.22417735933878;22/06/2016
1394;69000;218000;Pathoekeweg  300m noord van Korte Gotevlietstraat;;51.2661962237224;3.20820801541773;22/06/2016
1181;65500;211500;Koestraat  200m vanaf Grote Moerstraat;;51.2072779172018;3.15958392451958;22/06/2016
1549;68300;224000;Marcus Gerardstraat  500m vanaf Lanceloot Blonde.;;51.3200201679278;3.19682439997271;22/06/2016
1603;66500;227000;Westdam  1600m vanaf St.-George's day-wandeling;;51.3467228786368;3.17031492625818;22/06/2016
1118;66100;210000;Gistelse steenweg;Grote Moerstraat;51.1938843139151;3.1685162101054;22/06/2016
1055;70650;208300;Kortrijksestraat  gemeentegrens met Oostkamp;;51.1792487711042;3.23396688313991;22/06/2016
1129;71500;210200;Daverloostraat;Koning Boudewijnlaan;51.1964413134625;3.24571084921599;22/06/2016
1370;67550;217150;Blankenbergse steenweg  rond punt (noord) Zeelaan;;51.2583525508775;3.18762979871619;22/06/2016
1342;69100;215600;Kolvestraat;Peraltastraat;51.244641489644;3.21017540719557;22/06/2016
1141;67550;210550;Gistelse steenweg;Robrecht van Vlaanderenstraat;51.1990366753755;3.18913088674218;22/06/2016
1096;74350;209350;Astridlaan;Loweideweg;51.1891816940676;3.2866548093401;22/06/2016
1241;71600;212500;Blauwkasteelweg  bergplaats Groendienst Sint-Kruis;;51.2171251498535;3.24664301779122;22/06/2016
1304;73000;214200;Broekweg;Blauwkasteelhoek;51.2325928544666;3.26631832822717;22/06/2016
1338;67400;216000;Expresweg  begin afrit voor Blankenbergse steenw.;;51.2479956967672;3.18574289946203;22/06/2016
1512;67650;222700;Baron de Maerelaan;Geitenstraat;51.3082439802284;3.18779707779756;22/06/2016
1191;70550;211500;Kruitenberg;Zwarte Leertouwersstraat;51.2079945833322;3.23183624975121;22/06/2016
1292;67450;214000;Oostendse steenweg;zijweg west Expresweg N31;51.2300278979591;3.18691478522642;22/06/2016
1179;64650;211500;De Manlaan (Varsenare) meest noord-oost pijpekop;;51.2071529601589;3.14742405027435;22/06/2016
1402;67700;218950;Patentestraat;Dullemeulen ader;51.2745506659284;3.18936785942945;22/06/2016
1356;70500;216100;Dudzeelse steenweg;Kruisabelestraat;51.2493289288818;3.23011371430239;22/06/2016
1113;73100;209700;Molenstraat;Meersenstraat;51.1921622848782;3.26870239805215;22/06/2016
1567;66000;225000;Einde Zeedijk  350m verder en 350m recht naar zee;;51.3286760319755;3.16360478868752;22/06/2016
1126;70100;210150;Buiten Katelijnevest  busparking ingang jachthaven Flandria;;51.1957998812175;3.22569641025563;22/06/2016
1533;66700;223700;Uitkerkestraat  gemeentegrens met Blankenberge;;51.3170952433297;3.17394577977689;22/06/2016
1363;69200;216500;Pathoekeweg  850m noord vanaf as Kolvestraat;;51.2527433742926;3.21140704711692;22/06/2016
1592;70000;226000;Hendrik van Minderhoutstraat --  zeedijk;;51.3382319272439;3.2207620680474;22/06/2016
1088;70000;209150;Ten Briele  tunnel spoorweg;;51.1867989020298;3.22448582851569;22/06/2016
1617;69250;227650;Havengeul -- gasterminal strekdam Z-W midden bocht;;51.3529561833753;3.20963182224554;22/06/2016
1395;69500;218000;Lodewijk Coiseaukaai  450m van herdersbrug;;51.2662661949361;3.21536959984907;22/06/2016
1261;71150;213050;Zuidervaartje;De Tuintjes;51.2220075412691;3.24008511760134;22/06/2016
1265;73450;213250;Spijkerdreef;Aardenburgseweg;51.2241139550663;3.27295942331631;22/06/2016
