Functie;Objectnaam;HMpunt;KadeNR;Naam_locatie;Naam_waterweg;LatWGS84;LoWGS84;latWGS84;loWGS84;Aangemaakt op
Seinlichten - Sluis;Ingangslichten Pierre Vandammesluis NO;-99,9;;Zeebrugge;Pierre Vandammesluis - CDNB;51,3367660;3,215257;51.336766000237;3.21525700008;06/07/2016
Dok;Zuidelijk Insteekdok;-99,9;;Zeebrugge;Zuidelijk Insteekdok;51,3073490;3,229586;51.3073489994325;3.22958600092931;06/07/2016
Seinlichten - Sluis;Seinlichten Boudewijnsluis O;-99,9;;Brugge;Kanaal Brugge-Zeebrugge;51,2238730;3,223011;51.2238730001488;3.22301099944969;06/07/2016
Km-punt op as waterweg;Nijverheidsdok km 0.4;0,4;;Brugge;Nijverheidsdok;51,2291710;3,217060;51.2291710001302;3.21706000066892;06/07/2016
Km-punt op as waterweg;Kanaal Brugge-Zeebrugge km 92;9,2;;Lissewege;Kanaal Brugge-Zeebrugge;51,3038860;3,204265;51.3038859996872;3.20426499931201;06/07/2016
Ligplaats met overslag;Ligplaats 403;-99,9;403;Zeebrugge;Noordelijk Insteekdok;51,3199580;3,215081;51.3199579997872;3.21508100046251;06/07/2016
Ligplaats zonder overslag;Ligplaats 111;-99,9;111;Zeebrugge;Geul West - ZP1;51,3348770;3,186587;51.3348770002142;3.18658699930393;06/07/2016
Ligplaats zonder overslag;Ligplaats 965;-99,9;965;Brugge;Kanaal Brugge-Zeebrugge;51,2519090;3,216494;51.2519089997795;3.216493999566;06/07/2016
Ligplaats met overslag;Ligplaats 946;-99,9;946;Brugge;Kanaal Brugge-Zeebrugge;51,2312930;3,220509;51.2312930004627;3.22050900091268;06/07/2016
Km-punt op as waterweg;Geul West - ZP1 km 1;1,0;;Zeebrugge;Geul West - ZP1;51,3418660;3,193407;51.3418659997496;3.19340700098038;06/07/2016
Dok;Noordelijk Insteekdok;-99,9;;Zeebrugge;Noordelijk Insteekdok;51,3206360;3,213113;51.3206359995553;3.21311299910749;06/07/2016
Km-punt op as waterweg;Noordelijk Insteekdok km 1.1;1,1;;Zeebrugge;Noordelijk Insteekdok;51,3154760;3,215616;51.3154760006667;3.21561600034774;06/07/2016
Km-punt op as waterweg;Nijverheidsdok km 0.3;0,3;;Brugge;Nijverheidsdok;51,2282840;3,217290;51.2282840001787;3.21728999989594;06/07/2016
Km-punt op as waterweg;Pierre Vandammesluis - CDNB km 1;1,0;;Zeebrugge;Pierre Vandammesluis - CDNB;51,3395330;3,212996;51.3395329999075;3.21299599946057;06/07/2016
Terminal;ICO RoRo Noordelijk Insteekdok;-99,9;;Zeebrugge;Noordelijk Insteekdok;51,3254170;3,210787;51.3254169996063;3.21078699960649;06/07/2016
Km-punt op as waterweg;Wielingendok km 0.9;0,9;;Zeebrugge;Wielingendok;51,3580390;3,184246;51.3580389996899;3.18424600083784;06/07/2016
Km-punt op as waterweg;Kanaal Brugge-Zeebrugge km 109;10,9;;Zeebrugge;Kanaal Brugge-Zeebrugge;51,3189760;3,200429;51.3189759995382;3.20042899901824;06/07/2016
Km-punt op as waterweg;Geul West - ZP1 km 1.9;1,9;;Zeebrugge;Geul West - ZP1;51,3470260;3,203355;51.3470259996943;3.20335500077652;06/07/2016
Terminal;Decloedt Dredging;-99,9;;Zeebrugge;Kanaal Brugge-Zeebrugge;51,3157660;3,203246;51.3157660006137;3.2032460002117;06/07/2016
Km-punt op as waterweg;Wielingendok km 1.3;1,3;;Zeebrugge;Wielingendok;51,3578640;3,189981;51.3578639999628;3.18998100041083;06/07/2016
