Link_id;Railway_nm;Lang_code;Bridge;Tunnel;latWGS84;loWGS84;Aangemaakt op
79532534;;;N;N;51.3258493573314,51.3258493573314,51.3258493573314,51.3258493573314,51.3258493573314,51.3258493573314,51.3258493573314;3.22889466024299,3.22889466024299,3.22889466024299,3.22889466024299,3.22889466024299,3.22889466024299,3.22889466024299;22/06/2016
53682454;;;N;N;51.2110551388121,51.2110551388121;3.20355372668735,3.20355372668735;22/06/2016
53682396;;;N;N;51.2114758542338,51.2114758542338;3.20332366526059,3.20332366526059;22/06/2016
53974093;;;N;N;51.2638634503311,51.2638634503311,51.2638634503311;3.19450348313442,3.19450348313442,3.19450348313442;22/06/2016
53681905;;;N;N;51.217515187862,51.217515187862,51.217515187862,51.217515187862,51.217515187862,51.217515187862;3.20173351355885,3.20173351355885,3.20173351355885,3.20173351355885,3.20173351355885,3.20173351355885;22/06/2016
60853850;;;N;N;51.263303683225,51.263303683225;3.19508278634846,3.19508278634846;22/06/2016
53683823;;;N;N;51.1989266350478,51.1989266350478;3.21574065891469,3.21574065891469;22/06/2016
60863308;;;N;N;51.2675336487963,51.2675336487963,51.2675336487963,51.2675336487963,51.2675336487963,51.2675336487963,51.2675336487963,51.2675336487963,51.2675336487963,51.2675336487963;3.20155422972263,3.20155422972263,3.20155422972263,3.20155422972263,3.20155422972263,3.20155422972263,3.20155422972263,3.20155422972263,3.20155422972263,3.20155422972263;22/06/2016
53685966;;;N;N;51.1778460603564,51.1778460603564,51.1778460603564,51.1778460603564,51.1778460603564;3.22807171819748,3.22807171819748,3.22807171819748,3.22807171819748,3.22807171819748;22/06/2016
53683799;;;N;N;51.1991767548179,51.1991767548179;3.21465175111284,3.21465175111284;22/06/2016
60853820;;;N;N;51.24151440524,51.24151440524;3.20745424602415,3.20745424602415;22/06/2016
53680683;;;N;N;51.231404366486,51.231404366486;3.20459397145911,3.20459397145911;22/06/2016
60853828;;;N;N;51.2465338999716,51.2465338999716,51.2465338999716;3.20680300365244,3.20680300365244,3.20680300365244;22/06/2016
