Aard;Do_dossier;Do_dossier_2;El_element;El_element_2;El_element_3;El_element_4;Af_pv_numm;Fe_volgnum;Fe_type;Feitcodegr;Fe_aard;Avoc;Avoc_bet;Avoc_sum_o;Avoc_sum_c;Number_dea;Number_ser;Number_lig;Number_not;Fe_datum_v;Fe_uur_van;Fe_datum_t;Fe_uur_tot;Datum;Year;Month;Week_of_ye;Day_of_wee;Weekend;Hour;Hour_group;Day_night_;Day_night__2;Fe_straat;Fe_huisnum;Fe_busnumm;Fe_postcod;Fe_gemeent;Fe_land;Fe_kruispu;Fe_hm_paal;Fe_lokale_;Fe_poging;Fe_zware_o;Fe_minderj;Geocodetyp;Location;Location_v;El_datum_c;latWGS84;loWGS84;Aangemaakt op
PV;2014;49818;VO;2014;301092;Verzonden;BG.85.L1.301092/2014;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;1;0;1;0;0;1;1;20140517;1825;20140517;1825;20140517;2014;may;20;saturday;1;1825;18;day;day;Blankenbergse Steenweg;120;;8000;BRUGGE;België;;;;;;;AnchorPoints;politiezone;;20140517;51.2245855007526;3.20669456267896;31/10/2017
PV;2014;115806;VO;2014;302651;Verzonden;BG.91.L1.302651/2014;1;Verkeersongeval;VO;Verkeersongeval met stoffelijke schade;0;0;0;0;0;0;0;4;20141204;0223;20141204;0223;20141204;2014;december;49;thursday;0;0223;02;night;night;Ter Looigemweg;3;;8000;BRUGGE;België;;;;;;;AnchorPoints;politiezone;;20141204;51.2249435225796;3.23113154156987;31/10/2017
PV;2016;111800;VO;2016;302641;Verzonden;BG.91.L1.302641/2016;1;Verkeersongeval;VO;Verkeersongeval met stoffelijke schade;0;0;0;0;0;0;0;2;20161223;1700;20161223;1830;20161223;2016;december;51;friday;0;1830;18;night;day;Rijselstraat;60;;8200;BRUGGE;België;;;;;;;GrabAddressMatching;politiezone;;20161224;51.1898956398654;3.2115893985414;31/10/2017
PV;2014;99991;VO;2014;302296;Verzonden;BG.91.L1.302296/2014;1;Verkeersongeval;VO;Verkeersongeval met stoffelijke schade;0;0;0;0;0;0;0;1;20141014;2210;20141014;2210;20141014;2014;october;42;tuesday;0;2210;22;night;night;Titecastraat;78;;8200;BRUGGE;België;'t Speelhof;;;;;;AnchorPoints;politiezone;;20141015;51.1922191847874;3.20321611940412;31/10/2017
PV;2014;11;VO;2014;300000;Verzonden;BG.91.L1.300000/2014;1;Verkeersongeval;VO;Verkeersongeval met stoffelijke schade;0;0;0;0;0;0;0;1;20140101;0010;20140101;0023;20140101;2014;january;1;wednesday;0;0023;00;night;night;Gulden-Vlieslaan;70;;8000;BRUGGE;België;;;;;;;AnchorPoints;politiezone;;20140101;51.2148846938395;3.21604376175713;31/10/2017
PV;2016;52280;VO;2016;301170;Verzonden;BG.81.L1.301170/2016;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;1;0;1;0;0;1;1;20160613;0750;20160613;0750;20160613;2016;june;24;monday;0;0750;07;day;day;Vestingstraat;61;;8310;BRUGGE;België;Jan Blockxstraat;;;;;;AnchorPoints;politiezone;;20160613;51.2001839803251;3.23358511969036;31/10/2017
PV;2014;40041;VO;2014;300862;Verzonden;BG.91.L1.300862/2014;1;Verkeersongeval;VO;Verkeersongeval met stoffelijke schade;0;0;0;0;0;0;0;2;20140419;1800;20140419;1815;20140419;2014;april;16;saturday;1;1815;18;day;day;Generaal Lemanlaan;184;;8310;BRUGGE;België;;;;;;;AnchorPoints;politiezone;;20140420;51.2010937076601;3.2445050376578;31/10/2017
PV;2014;51947;VO;2014;301141;Verzonden;BG.81.L1.301141/2014;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;1;0;1;0;0;1;1;20140523;1705;20140523;1705;20140523;2014;may;21;friday;0;1705;17;day;day;Astridlaan;88;;8310;BRUGGE;België;Vooruitgangstraat;;;;;;AnchorPoints;politiezone;;20140523;51.1984499328681;3.25044704822864;31/10/2017
PV;2014;65902;VO;2014;301521;Verzonden;BG.91.L1.301521/2014;1;Verkeersongeval;VO;Verkeersongeval met stoffelijke schade;0;0;0;0;0;0;0;2;20140627;0910;20140707;0943;20140707;2014;july;28;monday;0;0943;09;day;day;Zeebruggelaan;14;;8380;BRUGGE;België;;;;;;;GrabAddressMatching;politiezone;;20140707;51.2943181871047;3.19271357497753;31/10/2017
PV;2014;49820;VO;2014;301093;Verzonden;BG.85.L1.301093/2014;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;1;0;1;0;0;1;2;20140517;1827;20140517;1827;20140517;2014;may;20;saturday;1;1827;18;day;day;Peter Benoitlaan;;;8200;BRUGGE;België;Hoge Lane;;;;;;AnchorPoints;politiezone;;20140517;51.2078445431783;3.20326123284603;31/10/2017
