DEELGEMEENTE;LIGGING;BELANG;COORDINATEN;NR;AANTAL;latWGS84;loWGS84;Aangemaakt op
Assebroek;Kleine Kerkhofstraat thv ingang kerkhof;algemeen belang;;194;1;51.19324123507323;3.2359997249183166;02/05/2018
Brugge;Stijn Streuvelsstraat (kant pare nrs tegenaan Peperstraat);algemeen belang;I 7;83;1;51.21240991273904;3.2350275651666967;02/05/2018
Brugge;Sint-Salvatorskerkhof;kerk St-Salvators + winkels + horeca;D 1;80;2;51.20551518096345;3.2206565246447947;02/05/2018
Sint-Kruis;Julius Delaplacestraat thv 122;alg. belang;;273;1;51.21601297544628;3.2418929978385775;02/05/2018
Brugge;Kraanplein;;;291;1;51.210473680166864;3.2249988505230283;02/05/2018
Sint-Andries;Gistelse Steenweg t.h.v. nr. 48;algemeen belang;A 11;104;1;51.20373701584075;3.2079834525411255;02/05/2018
Brugge;Westmeers t.h.v. nrs 54-56;bibliotheek Lode Zielens;D 11;89;2;51.203051789585984;3.2199005599662778;02/05/2018
Sint-Kruis;Lopez Gallostraat thv 11;Algemeen belang;;279;1;51.213596397839815;3.272200176574882;02/05/2018
;;;;297;;51.20185550085434;3.2025045948061313;02/05/2018
Brugge;Katelijnevest;algemeen belang;;219;1;51.19908753690548;3.2268975851368356;02/05/2018
Brugge;Komvest Baron Ruzettepark;;;289;2;51.22026938407981;3.222835048378153;02/05/2018
Brugge;Sint-Jorisstraat t.g.o. nr. 27;Orthopedie Van Meurs;D 6;77;2;51.21321832802597;3.2216907935324857;02/05/2018
Sint-Kruis;Smulstraat tegenaan de Moerkerkse Steenweg;algemeen belang;n.o.p.;146;1;51.21402899415208;3.2582698907053063;02/05/2018
Sint-Kruis;Karel Van Manderstraat thv 81;Particulier;;185;1;51.219013280601814;3.2415867970764984;02/05/2018
Brugge;Gapaardstraat t.h.v. nr. 44;algemeen belang;H 10;29;1;51.205593869604186;3.2351802404716694;02/05/2018
Brugge;Nieuwe Gentweg thv 57;algemeen belang;;228;1;51.204125143455386;3.2288695221219066;02/05/2018
Assebroek;Nijverheidsstraat 6;;;308;1;51.202863321704484;3.237109388748856;02/05/2018
Brugge;Tornooistraat tegenaan Keizer Karelstraat;algemeen belang;B 6;84;1;51.21452989637195;3.2137866156389507;02/05/2018
Sint-Kruis;Assebroeklaan 28;;;325;1;51.20933582540701;3.2475353429642944;02/05/2018
Sint-Michiels;Rijselstraat t.h.v. nrs 110-112;School + winkels + kerk;n.o.p.;148;1;51.18757578562088;3.2108569116273444;02/05/2018
Sint-Kruis;Moerkerksesteenweg t.h.v. nr. 128;Ziekenfonds + banken + winkels;J 7;140;1;51.21364555928911;3.247542219998256;02/05/2018
Assebroek;Sint-Katarinastraat (kerkplein);Kerk Sint-Katarina - school + winkels;H 14;16;1;51.19649568240376;3.2359821937648086;02/05/2018
Assebroek;Barthelsstraat thv 7;algemeen belang;;245;1;51.19372739387352;3.23362687242024;02/05/2018
Sint-Kruis;Julius Delaplacestraat thv 122;alg. belang;;267;1;51.216006013384074;3.2418917229054047;02/05/2018
Sint-Michiels;Spoorwegstraat t.h.v. nr. 208;algemeen belang;C 14;150;1;51.1857215702562;3.222775817077973;02/05/2018
Brugge;Coupure 30A;;;316;1;51.20661760318316;3.2346871745205306;02/05/2018
Sint-Andries;Zandstraat 21;;;306;1;51.20295448911104;3.2034883185941085;02/05/2018
Brugge;Eekhoutstraat;alg. belang;;271;1;51.206843780551374;3.227224026418721;02/05/2018
Sint-Andries;Pastoriestraat nr. 249;;;301;1;51.20778533108768;3.1732727752944796;02/05/2018
Assebroek;Dries 6,8 en 10;particulier;;214;4;51.19179280316236;3.24947816977991;02/05/2018
Zeebrugge;Vissersstraat thv 17;alg belang;;218;1;51.332181794141995;3.2053074762335863;02/05/2018
Sint-Kruis;Maalse Steenweg thv 41;soc. woningen/appartementen;;201;4;51.21060991439355;3.244037068922244;02/05/2018
Sint-Andries;Ter Lindehof thv 67;algemeen belang;;230;1;51.20633911052701;3.2024398529031477;02/05/2018
Zeebrugge;Bruselstraat tegenover 52;algemeen belang;;246;1;51.328299210808396;3.178782983476272;02/05/2018
Zwankendamme;Wulfsberge thv 18;Algemeen belang;;282;1;51.308771638607524;3.1941938261940486;02/05/2018
Brugge;Koningin Elisabethlaan thv 67;particulier;;240;1;51.21774955374696;3.2193580345965547;02/05/2018
Brugge;Burg;stads- + provinciediensten;F 9;27;2;51.20923500724112;3.226388994118995;02/05/2018
Brugge;Adriaan Willaertstraat thv 7 en 9;Schouwburg;E 8;19;2;51.21079146930461;3.223647643041168;02/05/2018
Brugge;Verversdijk 17;;;317;1;51.21172927136526;3.2302443033931914;02/05/2018
Sint-Andries;Edgard De Smedtplantsoen (geordende parking aan rechterzijde Magdalenazaal);Cultuurcentrum MaZ;A 12;100;4;51.20151209934967;3.208938471816472;02/05/2018
Sint-Andries;Sint-Jansdreef 9;;;315;1;51.20743561095785;3.209784709560791;02/05/2018
Sint-Andries;Ter Lindehof thv 15;algemeen belang;;229;1;51.205064539441956;3.2025644574078087;02/05/2018
Sint-Andries;Steentje t.h.v. nr. 30;aangepaste sociale woningen;n.o.p.;118;1;51.197135666286385;3.187806665619794;02/05/2018
Assebroek;Van Steenestraat thv 33;alg. belang;;269;1;51.20089977351193;3.2408749761582483;02/05/2018
Assebroek;Camiel Van den Busschestraat thv 78;particulier;n.o.p.;5;1;51.19832905795094;3.2464152280065;02/05/2018
Sint-Andries;Pastoriestraat thv 86 (2h parkeren);Algemeen belang;;278;1;51.200061817965576;3.178169103575786;02/05/2018
Sint-Michiels;Spoorwegstraat 120;;;323;1;51.188656764714054;3.221872563598508;02/05/2018
Brugge;Spanjaardstraat t.h.v. nr. 17;ziekenhuis St-Franciscus Xaverius - VDAB;E 7;82;2;51.21288596410635;3.225097795115061;02/05/2018
Zeebrugge;Rederskaai 40;;;318;2;51.33495835572738;3.2063125452592596;02/05/2018
Sint-Pieters;Ruddershove t.h.v. nr. 10;AZ St-Jan;n.o.p.;155;52;51.22093463999366;3.1927551173738427;02/05/2018
Brugge;Koningin Elisabethlaan thv 77;winkels;;241;1;51.21798665748731;3.2196599191354327;02/05/2018
Sint-Pieters;Blankenbergse Steenweg t.h.v. kerk;kerk St-Pieter in de Banden - bib + cc de Dijk;n.o.p.;151;3;51.229916351223885;3.2056352100321472;02/05/2018
Sint-Andries;Sint-Baafskerkstraat t.h.v. kerk;St-Baafskerk;n.o.p.;117;1;51.202283703865575;3.2046729361201503;02/05/2018
Sint-Andries;Diksmuidse Heerweg 110;;;296;1;51.19789241497124;3.19714046559705;02/05/2018
Dudzele;Stokerij parking CC De Polder;algemeen belang;;250;3;51.2740576403519;3.229101661857331;02/05/2018
Zeebrugge;Rederskaai t.h.v. nr. 6;toerisme infrastructuur;n.o.p.;166;2;51.33377441412304;3.2017440119217357;02/05/2018
Sint- Kruis;Moerkerksesteenweg (parking voor winkelcentrum);parking voor winkelcentrum;n.o.p.;144;2;51.213959785778606;3.248662016984953;02/05/2018
Brugge;Lange Raamstraat 16;algemeen belang;;41;1;51.21474099114514;3.2253713633693204;02/05/2018
Zeebrugge;Marktplein;administratief centrum;n.o.p.;165;1;51.33114956769878;3.2105684056527304;02/05/2018
Assebroek;Bossuytlaan thv 18;alg. belang;;261;1;51.201086343704695;3.248634859004084;02/05/2018
Sint-Kruis;Prins-leopoldstraat thv nr 47;algemeen belang;;181;1;51.21177830000347;3.248492633433902;02/05/2018
Sint Kruis;Dampoorstraat thv 91;alg. belang;;272;1;51.21581924457041;3.2401082542663193;02/05/2018
Brugge;Oude Gentweg tgo nr. 78;AROHM;G 11;57;2;51.20259912403973;3.2296284609472496;02/05/2018
Brugge;Philipstockstraat *;toerisme, horeca;E 8;62;2;51.20944512746227;3.224991337144558;02/05/2018
Brugge;Kazernevest 62;algemeen belang;;212;1;51.206566710044015;3.2380909714264687;02/05/2018
Brugge;Boeveriestraat thv  nr 48;;;286;1;51.202151008587755;3.215869091855002;02/05/2018
Sint Jozef;Ter Looigemweg thv 11;alg. belang;;274;1;51.22552544593702;3.231286271597582;02/05/2018
Brugge;Haarakkerstraat tegenover 29;alg belang;;264;1;51.21989978106027;3.232377833180968;02/05/2018
Brugge;Biskajerplein (zijkant plein);algemeen belang;;192;1;51.211286695434815;3.2256280261637653;02/05/2018
Assebroek;Pastoor Verhaegheplein;bedevaartskerk O.L.V.Onbevlekt Ontvangen;n.o.p.;15;2;51.18771879998841;3.274128211404381;02/05/2018
Brugge;Kapelstraat (tegen Sint-Clarastraat);algemeen belang;;211;1;51.21546500205152;3.222147167988216;02/05/2018
Brugge;Gentpoortvest 43;algemeen belang;;215;1;51.20143530524488;3.2317478709360685;02/05/2018
;Biezenstraat t.h.v. nr. 1;;;284;1;51.21584273858205;3.217688285498461;02/05/2018
Zeebrugge;Zeedijk 50;;;304;1;51.327472703148864;3.172574180350242;02/05/2018
Dudzele;Dorpsplein thv 10;alg. belang;;253;1;51.27320517084592;3.224427751258153;02/05/2018
Sint-Kruis;Damse Vaart-Zuid 3;;;305;1;51.221581809783096;3.2350141851899967;02/05/2018
Brugge;Sint-Annaplein t.h.v. nr. 30-31;Consultatiebureau voor Personen met Handicap;G 7;69;1;51.21173114047752;3.231803025865641;02/05/2018
Zeebrugge;Sint-Christianastraat (t.h.v. nr. 2);algemeen belang;n.o.p.;167;1;51.32742640313511;3.182817061809309;02/05/2018
Brugge;Gentpoortstraat 43;;;311;1;51.20359654089354;3.2332689094130056;02/05/2018
Brugge;Sint-Annaplein tegenaan Jeruzalemstraat;algemeen belang;G 7;70;1;51.21240758550664;3.2325859419569536;02/05/2018
