Id;Gebouw;Ligging;Functie;latWGS84;loWGS84;Aangemaakt op
14;Museum van Volkskunde;Rolweg / Balstraat;M;51.2131708973885,51.2131708973885,51.2131708973885,51.2131708973885,51.2131708973885,51.2131708973885,51.2131708973885,51.2131708973885,51.2131708973885,51.2131708973885;3.23349798598612,3.23349798598612,3.23349798598612,3.23349798598612,3.23349798598612,3.23349798598612,3.23349798598612,3.23349798598612,3.23349798598612,3.23349798598612;10/10/2016
11;O.L.-Vrouwekerk -praalgraven, madon;Mariastraat 19;M;51.2047318107884,51.2047318107884,51.2047318107884,51.2047318107884,51.2047318107884,51.2047318107884,51.2047318107884,51.2047318107884,51.2047318107884,51.2047318107884,51.2047318107884,51.2047318107884,51.2047318107884,51.2047318107884;3.22408486862198,3.22408486862198,3.22408486862198,3.22408486862198,3.22408486862198,3.22408486862198,3.22408486862198,3.22408486862198,3.22408486862198,3.22408486862198,3.22408486862198,3.22408486862198,3.22408486862198,3.22408486862198;10/10/2016
2;Gruuthusemuseum;Dijver 17;M;51.2052431465419,51.2052431465419,51.2052431465419,51.2052431465419,51.2052431465419,51.2052431465419,51.2052431465419,51.2052431465419,51.2052431465419,51.2052431465419,51.2052431465419,51.2052431465419,51.2052431465419,51.2052431465419,51.2052431465419,51.2052431465419,51.2052431465419,51.2052431465419,51.2052431465419,51.2052431465419,51.2052431465419,51.2052431465419,51.2052431465419,51.2052431465419,51.2052431465419,51.2052431465419,51.2052431465419,51.2052431465419,51.2052431465419,51.2052431465419,51.2052431465419,51.2052431465419;3.22507218042017,3.22507218042017,3.22507218042017,3.22507218042017,3.22507218042017,3.22507218042017,3.22507218042017,3.22507218042017,3.22507218042017,3.22507218042017,3.22507218042017,3.22507218042017,3.22507218042017,3.22507218042017,3.22507218042017,3.22507218042017,3.22507218042017,3.22507218042017,3.22507218042017,3.22507218042017,3.22507218042017,3.22507218042017,3.22507218042017,3.22507218042017,3.22507218042017,3.22507218042017,3.22507218042017,3.22507218042017,3.22507218042017,3.22507218042017,3.22507218042017,3.22507218042017;10/10/2016
15;Schuttersgilde Sint-Sebastiaan;Carmerstraat 174;M;51.2156116165406,51.2156116165406,51.2156116165406,51.2156116165406,51.2156116165406,51.2156116165406,51.2156116165406,51.2156116165406,51.2156116165406,51.2156116165406,51.2156116165406,51.2156116165406,51.2156116165406,51.2156116165406;3.23654030473458,3.23654030473458,3.23654030473458,3.23654030473458,3.23654030473458,3.23654030473458,3.23654030473458,3.23654030473458,3.23654030473458,3.23654030473458,3.23654030473458,3.23654030473458,3.23654030473458,3.23654030473458;10/10/2016
5;Groeningemuseum;Dijver 12;M;51.2061638080827,51.2061638080827,51.2061638080827,51.2061638080827,51.2061638080827,51.2061638080827,51.2061638080827,51.2061638080827,51.2061638080827,51.2061638080827,51.2061638080827,51.2061638080827,51.2061638080827,51.2061638080827,51.2061638080827,51.2061638080827,51.2061638080827,51.2061638080827,51.2061638080827,51.2061638080827,51.2061638080827;3.22620629751594,3.22620629751594,3.22620629751594,3.22620629751594,3.22620629751594,3.22620629751594,3.22620629751594,3.22620629751594,3.22620629751594,3.22620629751594,3.22620629751594,3.22620629751594,3.22620629751594,3.22620629751594,3.22620629751594,3.22620629751594,3.22620629751594,3.22620629751594,3.22620629751594,3.22620629751594,3.22620629751594;10/10/2016
4;Arendshuis;Dijver 16;M;51.205407735129,51.205407735129,51.205407735129,51.205407735129,51.205407735129,51.205407735129,51.205407735129,51.205407735129,51.205407735129,51.205407735129,51.205407735129,51.205407735129,51.205407735129,51.205407735129,51.205407735129,51.205407735129,51.205407735129,51.205407735129,51.205407735129,51.205407735129,51.205407735129,51.205407735129,51.205407735129,51.205407735129,51.205407735129;3.22495561678212,3.22495561678212,3.22495561678212,3.22495561678212,3.22495561678212,3.22495561678212,3.22495561678212,3.22495561678212,3.22495561678212,3.22495561678212,3.22495561678212,3.22495561678212,3.22495561678212,3.22495561678212,3.22495561678212,3.22495561678212,3.22495561678212,3.22495561678212,3.22495561678212,3.22495561678212,3.22495561678212,3.22495561678212,3.22495561678212,3.22495561678212,3.22495561678212;10/10/2016
13;Sint-Salvatorskathedraal; Zuidzandstraat;M;51.2053133165569,51.2053133165569,51.2053133165569,51.2053133165569,51.2053133165569,51.2053133165569,51.2053133165569,51.2053133165569;3.22154882898248,3.22154882898248,3.22154882898248,3.22154882898248,3.22154882898248,3.22154882898248,3.22154882898248,3.22154882898248;10/10/2016
3;Archeologisch Museum;Mariastraat 36 a;M;51.2042362070989,51.2042362070989,51.2042362070989,51.2042362070989,51.2042362070989,51.2042362070989,51.2042362070989,51.2042362070989,51.2042362070989,51.2042362070989,51.2042362070989,51.2042362070989,51.2042362070989,51.2042362070989,51.2042362070989,51.2042362070989,51.2042362070989,51.2042362070989,51.2042362070989,51.2042362070989,51.2042362070989,51.2042362070989,51.2042362070989,51.2042362070989,51.2042362070989,51.2042362070989,51.2042362070989,51.2042362070989;3.22412469519923,3.22412469519923,3.22412469519923,3.22412469519923,3.22412469519923,3.22412469519923,3.22412469519923,3.22412469519923,3.22412469519923,3.22412469519923,3.22412469519923,3.22412469519923,3.22412469519923,3.22412469519923,3.22412469519923,3.22412469519923,3.22412469519923,3.22412469519923,3.22412469519923,3.22412469519923,3.22412469519923,3.22412469519923,3.22412469519923,3.22412469519923,3.22412469519923,3.22412469519923,3.22412469519923,3.22412469519923;10/10/2016
8;Brugse Vrije -Provinciaalmuseum-;Burg 11a;M;51.2084994359386,51.2084994359386,51.2084994359386,51.2084994359386,51.2084994359386,51.2084994359386;3.2274626635503,3.2274626635503,3.2274626635503,3.2274626635503,3.2274626635503,3.2274626635503;10/10/2016
20;Museum Heilig Bloed;Burg 10;M;51.2080865469861,51.2080865469861,51.2080865469861,51.2080865469861,51.2080865469861,51.2080865469861,51.2080865469861,51.2080865469861,51.2080865469861,51.2080865469861,51.2080865469861;3.2263473967843,3.2263473967843,3.2263473967843,3.2263473967843,3.2263473967843,3.2263473967843,3.2263473967843,3.2263473967843,3.2263473967843,3.2263473967843,3.2263473967843;10/10/2016
