Id;Type;Indeling;Materiaal;Kleur;Markering;Beheerder;Breedte;Rijrichtng;Lengte;Opp;latWGS84;loWGS84;Aangemaakt op
0;Aanliggend gelijkgronds;Eenrichting;Asfalt;Rood;Nee;Stad;130;Mee;112;0;51.1987381756129,51.1987381756129,51.1987381756129,51.1987381756129,51.1987381756129,51.1987381756129,51.1987381756129,51.1987381756129,51.1987381756129,51.1987381756129,51.1987381756129,51.1987381756129,51.1987381756129,51.1987381756129,51.1987381756129;3.24041168387849,3.24041168387849,3.24041168387849,3.24041168387849,3.24041168387849,3.24041168387849,3.24041168387849,3.24041168387849,3.24041168387849,3.24041168387849,3.24041168387849,3.24041168387849,3.24041168387849,3.24041168387849,3.24041168387849;19/10/2017
0;Aanliggend gelijkgronds;Eenrichting;Asfalt;Niet van toepassing;Ja;Stad;250;Mee;10;0;51.3084605446776,51.3084605446776;3.19366535981777,3.19366535981777;19/10/2017
0;Vrijliggend;Eenrichting;Slemlaag;Rood;Nee;MBZ;300;Mee;36;0;51.2246451533157,51.2246451533157;3.22686460553586,3.22686460553586;19/10/2017
0;Aanliggend gelijkgronds;Eenrichting;Beton;Rood;Ja;Gewest;125;Mee;4;0;51.196238564756,51.196238564756;3.25385311556587,3.25385311556587;19/10/2017
0;Vrijliggend;Eenrichting;Betonstraatstenen;Rood;Nee;Stad;290;Mee;22;0;51.1809818537939,51.1809818537939,51.1809818537939;3.23541082388354,3.23541082388354,3.23541082388354;19/10/2017
0;Vrijliggend;Eenrichting;Betontegels;Niet van toepassing;Nee;Stad;160;;178;0;51.1856749372523,51.1856749372523,51.1856749372523,51.1856749372523;3.16049930713717,3.16049930713717,3.16049930713717,3.16049930713717;19/10/2017
0;Aanliggend gelijkgronds;Tweerichting;Slemlaag;Rood;Ja;Stad;200;Mee;11;0;51.2187236423265,51.2187236423265;3.2143472018378,3.2143472018378;19/10/2017
0;Vrijliggend;Tweerichting;Betonstraatstenen;Rood;Nee;Stad;245;Mee;9;0;51.2233394112172,51.2233394112172,51.2233394112172;3.21494901892734,3.21494901892734,3.21494901892734;19/10/2017
0;Vrijliggend;Tweerichting;Beton;Rood;Nee;Gewest;270;;222;0;51.2021003984851,51.2021003984851,51.2021003984851;3.19357462257553,3.19357462257553,3.19357462257553;19/10/2017
0;Vrijliggend;Tweerichting;Slemlaag;Oker;Nee;Gewest;350;Mee;12;0;51.204261295303,51.204261295303;3.21876147273088,3.21876147273088;19/10/2017
0;Fietssuggestiestrook;Eenrichting;Slemlaag;Oker;Nee;Gewest;145;Mee;18;0;51.2038238064133,51.2038238064133;3.20861535163875,3.20861535163875;19/10/2017
0;Vrijliggend;Tweerichting;Open Verharding;Niet van toepassing;Nee;Stad;275;Mee;17;0;51.1902052021779,51.1902052021779,51.1902052021779;3.20522859191525,3.20522859191525,3.20522859191525;19/10/2017
0;Aanliggend gelijkgronds;Eenrichting;Asfalt;Niet van toepassing;Ja;Stad;90;Mee;48;0;51.1886364882061,51.1886364882061;3.21128867167254,3.21128867167254;19/10/2017
0;Aanliggend gelijkgronds;Eenrichting;Betonstraatstenen;Rood;Ja;Stad;155;Mee;5;0;51.2146785871478,51.2146785871478;3.20540800354237,3.20540800354237;19/10/2017
0;Vrijliggend;Tweerichting;Betonstraatstenen;Rood;Nee;Stad;370;Mee;25;0;51.2064147431658,51.2064147431658;3.25216922695245,3.25216922695245;19/10/2017
0;Aanliggend gelijkgronds;Eenrichting;Asfalt;Rood;Nee;Stad;165;Mee;59;0;51.1867668246818,51.1867668246818,51.1867668246818;3.23118220980829,3.23118220980829,3.23118220980829;19/10/2017
0;Fiets- en Wandelpad;Tweerichting;Open Verharding;Oker;Nee;Stad;300;;164;0;51.2288103722983,51.2288103722983,51.2288103722983;3.19761555963344,3.19761555963344,3.19761555963344;19/10/2017
0;Fiets- en Wandelpad;Tweerichting;Betontegels;Niet van toepassing;Nee;Stad;220;;5;0;51.2163123278083,51.2163123278083;3.27661153585132,3.27661153585132;19/10/2017
0;Jaagpad;Tweerichting;Asfalt;Niet van toepassing;Nee;Stad;225;Mee;923;0;51.2233492110766,51.2233492110766,51.2233492110766,51.2233492110766,51.2233492110766,51.2233492110766,51.2233492110766,51.2233492110766,51.2233492110766,51.2233492110766,51.2233492110766,51.2233492110766,51.2233492110766,51.2233492110766,51.2233492110766,51.2233492110766,51.2233492110766,51.2233492110766,51.2233492110766;3.25453761485991,3.25453761485991,3.25453761485991,3.25453761485991,3.25453761485991,3.25453761485991,3.25453761485991,3.25453761485991,3.25453761485991,3.25453761485991,3.25453761485991,3.25453761485991,3.25453761485991,3.25453761485991,3.25453761485991,3.25453761485991,3.25453761485991,3.25453761485991,3.25453761485991;19/10/2017
0;Aanliggend gelijkgronds;Tweerichting;Slemlaag;Rood;Ja;Gewest;330;Mee;9;0;51.2045428785652,51.2045428785652;3.21709243788535,3.21709243788535;19/10/2017
0;Vrijliggend;Tweerichting;Asfalt;Rood;Nee;Gewest;290;Mee;3;0;51.2502232180677,51.2502232180677;3.19384621720183,3.19384621720183;19/10/2017
