Nr;Ligging;Huisnr;Eigenaar;Terrein;Deelgemeente;Vereniging;Aantal_geb;latWGS84;loWGS84;Aangemaakt op
;Sint-Michielslaan;69;Scouts Tilleghem;0;Sint-Michiels;Scouts Tilleghem;2;51.1794373374002;3.20938903606128;10/10/2016
138;Duivenslagstraat;0;Privé;0;Sint-Pieters;Jongerenwerking De Wissel;0;51.2344358360967;3.20470473723558;10/10/2016
73;Brieversweg;373;KSA Rooyghem;0;Sint-Kruis;KSA Rooyghem;1;51.212017611176;3.28884658760572;10/10/2016
;Sint-Arnolduslaan;28;Stad Brugge;0;Sint-Michiels;Chiro Wilgenhart;1;51.18159851613;3.22029871496686;10/10/2016
44;Sint-Arnolduslaan;0;Stad Brugge;0;Sint-Michiels;Chiro Wilgenland;0;51.18159851613;3.22029871496686;10/10/2016
25;Amaat Vynckestraat;0;Stad Brugge;0;Dudzele;K.S.A. Sint-Lenaert;1;51.2757789886025;3.22895003022983;10/10/2016
;Sint-Michielslaan;69;Stad Brugge;0;Sint-Michiels;Scouts Tilleghem;1;51.1794373012378;3.20938534948973;10/10/2016
62;Ter Pannestraat;6;Jeugdwerkinitiatief Stad;0;Brugge Centrum;Scouts Kerlinga;1;51.2214505356914;3.22234408850461;10/10/2016
;Daverlostraat;140;Stad Brugge;0;Assebroek;209e Fos De Vrijbuiters;1;51.1945851475351;3.24775287294845;10/10/2016
142;Stationsstraat;0;Privé;0;Lissewege;KSA Lissewege;0;51.2941257573823;3.19633182631287;10/10/2016
45;Sint-Arnolduslaan;26;Stad Brugge;0;Sint-Michiels;Chiro Wilgenhart;1;51.18159851613;3.22029871496686;10/10/2016
29;Paul Gilsonstraat;0;Stad Brugge;0;Sint-Andries;KSA Kristus Koning;3;51.2073466731624;3.19978322833185;10/10/2016
10;Prinses Maria Christinalaan;11;Stad Brugge;0;Assebroek;Scouts Akabe Twiest;1;51.1955341582273;3.24884407306475;10/10/2016
23;Jakobinessenstraat;47;Stad Brugge;0;Brugge-centrum;Sint-Leo Landscouts, Scoutsharmonie Sint-Leo;2;51.2037923047741;3.23077643662334;10/10/2016
107;Beenhouwersstraat;9;Privé;0;Brugge-centrum;Wegwijzer v.z.w. Reisinfocentrum;0;51.2079729798131;3.2175575529656;10/10/2016
79;Jagerspad (Lisseweegse steenweg);0;Zeescouts Stella Maris;0;Zwankendamme;Zeescouts Stella Maris;1;51.3110081218948;3.20145725923332;10/10/2016
144;Ploegstraat;0;Privé;0;Zeebrugge;Zeescouts Stella Maris;0;51.3310593772061;3.2089452344543;10/10/2016
81;Kerklaan;37;kerkfabriek;0;Assebroek;Chiro Sint-Joris 't Leitje;3;51.1905330145433;3.27413489757201;10/10/2016
65;Legeweg;0;Chiro Waww;0;Sint-Andries;Chiro W.A.W.W.;1;51.2043018019315;3.20548589484521;10/10/2016
8;Daverlostraat;140;209e Fos De Vrijbuiters;0;Assebroek;209e Fos De Vrijbuiters;3;51.1945851475351;3.24775287294845;10/10/2016
123;Zeeweg;96;Privé;0;Sint-Andries;Jongerenvereniging Voor Sterrenkunde Vigilia;0;51.1768012021015;3.15324738329988;10/10/2016
63;Legeweg;0;vzw Hudo;0;Sint-Andries;Scouts Grimmeringe, Scouts St-Hubertus;1;51.2043018019315;3.20548589484521;10/10/2016
47;Tempelhof;75;Stad Brugge;0;Sint-Pieters;Chiro op den Dijk, Rode Valken Brugge Noord, KSA Kristus Koning, KSA Spiko;4;51.2286815759564;3.20252647216966;10/10/2016
129;Kanunnik Decoeneplein;0;parochie;0;Sint-Kruis;KSA St Kruis en Male;1;51.2124609117833;3.28726622413454;10/10/2016
