Naam;Formule;Straat;HuisNr;HuisNrToev;Postcode;Deelgemeente;Gemeente;Branche;Wvo;Check_dat;Winkelgebied;Subcentrum;StrnmEnHuisnr;latWGS84;loWGS84;Aangemaakt op
Hotel van Eyck;(Zelfst/nvt);Korte Zilverstraat;7;;8000;Brugge;Brugge;59.210.234-Hotel;;20090119;Centrum Brugge;Centrum Brugge;Korte Zilverstraat 7;51.2079153613849;3.22236298036214;05/07/2016
Bocadillo;(Zelfst/nvt);Zilverpand;13;;8000;Brugge;Brugge;59.210.171-Fastfood;;20090119;Centrum Brugge;Centrum Brugge;Zilverpand 13;51.2065268741463;3.22019439719934;05/07/2016
't Dreveken;(Zelfst/nvt);Huidenvettersplein;10;;8000;Brugge;Brugge;59.210.434-Restaurant;;20090119;Centrum Brugge;Centrum Brugge;Huidenvettersplein 10;51.2075598757799;3.22766456031963;05/07/2016
Tempelier;(Zelfst/nvt);Gistelse Steenweg;120;;8200;Sint-Andries;Brugge;59.210.123-Café;;20090114;Gistelse Steenweg_1;Gistelse Steenweg_1;Gistelse Steenweg 120;51.2022668049724;3.20324557613555;05/07/2016
St Jacobshuis;(Zelfst/nvt);Onder de Toren;13;;8380;Lissewege;Brugge;59.210.123-Café;;20080109;Verspreide bewinkeling Lissewege;Overig_Lissewege;Onder de Toren 13;51.2944312596385;3.1980467458735;05/07/2016
Malleberg;(Zelfst/nvt);Hoogstraat;7;;8000;Brugge;Brugge;59.210.234-Hotel;;20090119;Centrum Brugge;Centrum Brugge;Hoogstraat 7;51.2092960078502;3.22792282587239;05/07/2016
Mas que Nada;(Zelfst/nvt);Maagdenstraat;44;;8000;Brugge;Brugge;59.210.430-Café-Restaurant;;20090115;Smedenstraat;Smedenstraat;Maagdenstraat 44;51.2036853742854;3.21424510461399;05/07/2016
De Brugse Taverne;(Zelfst/nvt);Markt;27;;8000;Brugge;Brugge;59.210.430-Café-Restaurant;;20090119;Centrum Brugge;Centrum Brugge;Markt 27;51.2092785413731;3.22383678163099;05/07/2016
Ter Steeghere;(Zelfst/nvt);Wollestraat;21;F;8000;Brugge;Brugge;59.210.333-Lunchroom;;20090119;Centrum Brugge;Centrum Brugge;Wollestraat 21;51.2079785461209;3.2258980195162;05/07/2016
Taverne Dampierre;(Zelfst/nvt);Maalse Steenweg;504;;8310;Sint-Kruis;Brugge;59.210.430-Café-Restaurant;;20080123;Verspreide bewinkeling Sint-Kruis;Overig_Sint-Kruis;Maalse Steenweg 504;51.2075665855509;3.28821903918454;05/07/2016
RED!;(Zelfst/nvt);Nieuwe Gentweg;53;;8000;Brugge;Brugge;59.210.235-Hotel-Rest;;20080122;Verspreide bewinkeling Brugge;Overig_Brugge;Nieuwe Gentweg 53;51.2041947400908;3.22864336762039;05/07/2016
De Pepermolen;(Zelfst/nvt);Walram Romboudtstraat;2;;8380;Lissewege;Brugge;59.210.434-Restaurant;;20080109;Verspreide bewinkeling Lissewege;Overig_Lissewege;Walram Romboudtstraat 2;51.2943145668079;3.19714401741909;05/07/2016
La Vitta;(Zelfst/nvt);Noordzandstraat;94;;8000;Brugge;Brugge;59.210.171-Fastfood;;20090119;Centrum Brugge;Centrum Brugge;Noordzandstraat 94;51.2062289893245;3.21792341308649;05/07/2016
Montanus;(Zelfst/nvt);Nieuwe Gentweg;80;;8000;Brugge;Brugge;59.210.234-Hotel;;20080122;Verspreide bewinkeling Brugge;Overig_Brugge;Nieuwe Gentweg 80;51.2035419626805;3.22764658513137;05/07/2016
Bistro du Phare;(Zelfst/nvt);Sasplein;2;;8000;Brugge;Brugge;59.210.430-Café-Restaurant;;20080122;Verspreide bewinkeling Brugge;Overig_Brugge;Sasplein 2;51.2213981595722;3.23277181165305;05/07/2016
De Toekomst;(Zelfst/nvt);Baron Ruzettelaan;140;;8310;Assebroek;Brugge;59.210.123-Café;;20090113;Baanconcentratie Baron Ruzettelaan;Baanconcentratie Baron Ruzettelaan;Baron Ruzettelaan 140;51.192456567698;3.23187899717384;05/07/2016
Kunstbistro De Twijfelaar;(Zelfst/nvt);Eekhoutstraat;24;;8000;Brugge;Brugge;59.210.434-Restaurant;;20090119;Centrum Brugge;Centrum Brugge;Eekhoutstraat 24;51.2060680680499;3.22798697858784;05/07/2016
