Datum;PM 1;PM 2,5;PM 10;G;H;I;J;K;L;M;N;O;P;Q;R;Longitude;Latitude;latWGS84;loWGS84;Aangemaakt op
20170816;6.16;8.91;17.33;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170817;4.94;6.54;12.14;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170818;3.88;6.91;14.23;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170819;3.12;6.11;12.35;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170820;3.22;5.84;11.56;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170821;4.78;6.99;13.04;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170822;9.34;11.79;19.65;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170823;12.92;15.91;25.96;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170824;3.70;6.62;13.70;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170825;10.51;13.61;22.51;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170826;21.86;24.70;32.11;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170827;24.02;26.62;32.44;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170828;25.70;28.68;38.21;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170829;39.98;44.19;60.19;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170830;10.93;13.08;17.52;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170831;4.11;5.87;10.73;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170901;6.19;8.31;14.77;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170902;5.52;6.65;9.23;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170903;8.89;10.14;13.62;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170904;11.12;12.69;19.23;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170905;6.27;7.76;14.30;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170906;4.69;8.65;16.31;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170907;7.46;13.08;23.01;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170908;3.68;5.44;9.51;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
