Id;Paalnr;Straatnaam;Huisnummer;Locatie;Inplanting;Aantalpijl;Hotelnaam1;Aantster1;_2zijden1;Staatpijl1;Richting1;Hotelnaam2;Aantster2;_2zijden2;Staatpijl2;Richting2;Hotelnaam3;Aantster3;_2zijden3;Staatpijl3;Hotelnaam4;Aanster4;_2zijden4;Staatpijl4;Hotelnaam5;Aantster5;_2zijden5;Staatpijl5;Hotelnaam6;Aantster6;_2zijden6;Staatpijl6;Richting3;Richting4;Richting5;Richting6;Foto;Hotelnaam7;Aantster7;_2zijden7;Staatpijl7;Richting7;Hotelnaam8;Aantster8;_2zijden8;Staatpijl8;Richting8;Hotelnaam9;Aanster9;_2zijden9;Richting;Staatpijl9;Hotelnm10;Aantster10;_2zijden10;Richting10;Hotelnm11;Aantster11;_2zijden11;Staat11;Richting11;Staat10;latWGS84;loWGS84;Aangemaakt op
100;100;Chartreuseweg;0;Hoek Koning Albert 1 laan;Beplanting;1;Leonardo hotel;3;Ja;Goed;Back;;0;Nee;;;;0;Nee;;;0;Nee;;;0;Nee;;;0;Nee;;;;;;foto/chartreuseweg.PNG;;0;0;;;;0;0;;;;0;0;;;;0;0;;;0;0;;;;51.1699878166033;3.19809521639368;15/09/2016
21;21;Katelijnestraat;143;Kruispunt Katelijnestraat-Gentpoortvest;Beplanting;2;IBIS;0;Ja;'I' half weg;Front;Novotel;3;Ja;Goed;Front;;0;Nee;;;0;Nee;;;0;Nee;;;0;Nee;;;;;;foto/DSC07300.JPG;;0;0;;;;0;0;;;;0;0;;;;0;0;;;0;0;;;;51.1998402774924;3.22941745723656;15/09/2016
50;50;Academiestraat;18;Voor Rijksarchief;Voetpad;2;Europ;2;Ja;Goed;Front;Ter Brughe;4;Ja;Top staat scheef;Front;;0;Nee;;;0;Nee;;;0;Nee;;;0;Nee;;;;;;foto/DSC07320.JPG;;0;0;;;;0;0;;;;0;0;;;;0;0;;;0;0;;;;51.2114502096664;3.22527240655361;15/09/2016
62;62;Komvest;0;Tussenstuk zebrapad;Middenberm, beplanting;1;Gulden Vlies;2;Ja;Goed;Front;;0;Nee;;;;0;Nee;;;0;Nee;;;0;Nee;;;0;Nee;;;;;;foto/DSC07348.JPG;;0;0;;;;0;0;;;;0;0;;;;0;0;;;0;0;;;;51.2184174280935;3.22039066632236;15/09/2016
13;13;Sint-Salvatorskerkhof;15;St-SalvatorKerkhof- Kleine Vuldersstraat;Naast parkeerplaats;3;Groeninghe;0;Nee;Goed;Back;Lybeer;0;Nee;Goed;Back;? (ruilluik hangt er voor);2;Nee;?;;0;Nee;;;0;Nee;;;0;Nee;;Front;;;;foto/DSC07266.JPG;;0;0;;;;0;0;;;;0;0;;;;0;0;;;0;0;;;;51.2050098914606;3.22114487912466;15/09/2016
54;54;Genthof;8;op woensdagmarkt (plein);Voetpad;1;Brughia;4;Ja;Goed;Rechts;;0;Nee;;;;0;Nee;;;0;Nee;;;0;Nee;;;0;Nee;;;;;;foto/DSC07346.JPG;;0;0;;;;0;0;;;;0;0;;;;0;0;;;0;0;;;;51.212317198501;3.22636924690833;15/09/2016
102;102;Barrièrestraat;1;Naast rondpunt (over tankstation), bij ander verkeersbord;Voetpad;1;Brugotel;3;Nee;redelijk;Front;;0;Nee;;;;0;Nee;;;0;Nee;;;0;Nee;;;0;Nee;;;;;;foto/DSC07356.JPG;;0;0;;;;0;0;;;;0;0;;;;0;0;;;0;0;;;;51.1953683323997;3.21354154587249;15/09/2016
70;70;Prinsenhof;8;Pleintje, achter boom;Boom;1;Prinsenhof;4;Nee;Goed, maar zit verborgen achter boom;Links;;0;Nee;;;;0;Nee;;;0;Nee;;;0;Nee;;;0;Nee;;;;;;foto/DSC07352.JPG;;0;0;;;;0;0;;;;0;0;;;;0;0;;;0;0;;;;51.2082966880308;3.22033901340747;15/09/2016
60;60;Komvest;56;Hoek Walwijnstraat;Beplanting;2;St. Fr. Xav. Ziekenhuis;0;Ja;Redelijk;Rechts;Ter Duinen;3;Nee;Goed;Front;;0;Nee;;;0;Nee;;;0;Nee;;;0;Nee;;;;;;foto/komvest 56.PNG;;0;0;;;;0;0;;;;0;0;;;;0;0;;;0;0;;;;51.2209988494605;3.22656448237647;15/09/2016
1;1;Hoefijzerlaan;67;hoek Guido-Gezellelaan Hoefijzerstraat;Voetpad;1;Interhotel;0;Nee;Goed;Front/Links;;0;Nee;;;;0;Nee;;;0;Nee;;;0;Nee;;;0;Nee;;;;;;foto/DSC07253.JPG;;0;0;;;;0;0;;;;0;0;;;;0;0;;;0;0;;;;51.209118988813;3.21398152731411;15/09/2016
