Id;Nr;Id_1;Wijk;Naam;Capaciteit;Ingenomen;Beschikbaar;Bewoner;Buitenlander;Andere;Bezet;Bezetgraad;AandBew;AandBuit;AandAnder;latWGS84;loWGS84;Aangemaakt op
0;401702;401702;4;Rijkepijnderstraat onpaar (west);5;;5;4;0;4;4;1.6;0.5;0;0.5;51.2152079213767,51.2152079213767,51.2152079213767,51.2152079213767,51.2152079213767,51.2152079213767,51.2152079213767,51.2152079213767,51.2152079213767,51.2152079213767,51.2152079213767,51.2152079213767,51.2152079213767,51.2152079213767,51.2152079213767,51.2152079213767,51.2152079213767,51.2152079213767,51.2152079213767,51.2152079213767,51.2152079213767,51.2152079213767,51.2152079213767,51.2152079213767,51.2152079213767,51.2152079213767,51.2152079213767,51.2152079213767,51.2152079213767,51.2152079213767,51.2152079213767,51.2152079213767,51.2152079213767,51.2152079213767,51.2152079213767,51.2152079213767,51.2152079213767,51.2152079213767,51.2152079213767,51.2152079213767,51.2152079213767,51.2152079213767,51.2152079213767,51.2152079213767,51.2152079213767,51.2152079213767,51.2152079213767,51.2152079213767,51.2152079213767,51.2152079213767,51.2152079213767,51.2152079213767,51.2152079213767,51.2152079213767,51.2152079213767,51.2152079213767,51.2152079213767,51.2152079213767,51.2152079213767,51.2152079213767,51.2152079213767,51.2152079213767,51.2152079213767;3.23111613378578,3.23111613378578,3.23111613378578,3.23111613378578,3.23111613378578,3.23111613378578,3.23111613378578,3.23111613378578,3.23111613378578,3.23111613378578,3.23111613378578,3.23111613378578,3.23111613378578,3.23111613378578,3.23111613378578,3.23111613378578,3.23111613378578,3.23111613378578,3.23111613378578,3.23111613378578,3.23111613378578,3.23111613378578,3.23111613378578,3.23111613378578,3.23111613378578,3.23111613378578,3.23111613378578,3.23111613378578,3.23111613378578,3.23111613378578,3.23111613378578,3.23111613378578,3.23111613378578,3.23111613378578,3.23111613378578,3.23111613378578,3.23111613378578,3.23111613378578,3.23111613378578,3.23111613378578,3.23111613378578,3.23111613378578,3.23111613378578,3.23111613378578,3.23111613378578,3.23111613378578,3.23111613378578,3.23111613378578,3.23111613378578,3.23111613378578,3.23111613378578,3.23111613378578,3.23111613378578,3.23111613378578,3.23111613378578,3.23111613378578,3.23111613378578,3.23111613378578,3.23111613378578,3.23111613378578,3.23111613378578,3.23111613378578,3.23111613378578;12/08/2016
0;601204;601204;6;Langestraat (Kersenboomstraat - Rodestraat) onpaar (noord);7;;7;0;0;2;2;0.28571428571429;0;0;1;51.211086300638,51.211086300638,51.211086300638,51.211086300638,51.211086300638,51.211086300638,51.211086300638;3.23622942190852,3.23622942190852,3.23622942190852,3.23622942190852,3.23622942190852,3.23622942190852,3.23622942190852;12/08/2016
0;900104;900104;9;Arsenaalstraat (Sulferbergstraat - Katelijnestraat) onpaar (zuid);0;;0;0;0;0;0;0;0;0;0;51.2010815434024,51.2010815434024;3.22654834278119,3.22654834278119;12/08/2016
0;302502;302502;3;Oosterlingenplein kant huizen (west);0;;0;0;0;0;0;0;0;0;0;51.2131941873246,51.2131941873246,51.2131941873246,51.2131941873246;3.22598245286241,3.22598245286241,3.22598245286241,3.22598245286241;12/08/2016
0;1000802;1000802;10;Hauwerstraat (Maagdenstraat - Zwijnstraat) paar (noord);0;;0;0;0;0;0;0;0;0;0;51.2042301938752,51.2042301938752,51.2042301938752,51.2042301938752;3.21604313422531,3.21604313422531,3.21604313422531,3.21604313422531;12/08/2016
0;1203901;1203901;12;Spiegelrei (Koningstraat - Genthof);0;;0;0;0;0;0;0;0;0;0;51.2131859351746,51.2131859351746,51.2131859351746,51.2131859351746,51.2131859351746,51.2131859351746,51.2131859351746,51.2131859351746,51.2131859351746,51.2131859351746,51.2131859351746,51.2131859351746;3.22872995233285,3.22872995233285,3.22872995233285,3.22872995233285,3.22872995233285,3.22872995233285,3.22872995233285,3.22872995233285,3.22872995233285,3.22872995233285,3.22872995233285,3.22872995233285;12/08/2016
0;200801;200801;2;Ezelstraat brug;0;;0;0;0;0;0;0;0;0;0;51.211610808669,51.211610808669,51.211610808669,51.211610808669,51.211610808669;3.2204382571468,3.2204382571468,3.2204382571468,3.2204382571468,3.2204382571468;12/08/2016
0;601303;601303;6;Moerkerkestraat (Predikherenrei-Predikherenrei) onpaar (noord);0;;0;0;0;0;0;0;0;0;0;51.2068028808852,51.2068028808852;3.23583343156981,3.23583343156981;12/08/2016
0;700702;700702;7;Gapaardstraat (Violierstraat - Vizierstraat) onpaar (noord);4;;4;2;0;2;2;1;0.5;0;0.5;51.2056026338103,51.2056026338103,51.2056026338103;3.23489960496974,3.23489960496974,3.23489960496974;12/08/2016
0;102202;102202;1;Pater Damiaanstraat onpaar (zuid);8;;8;3;0;3;3;0.75;0.5;0;0.5;51.2094724778154,51.2094724778154,51.2094724778154,51.2094724778154,51.2094724778154,51.2094724778154;3.21469783312634,3.21469783312634,3.21469783312634,3.21469783312634,3.21469783312634,3.21469783312634;12/08/2016
0;101102;101102;1;Kleine Kuiperstraat onpaar (west);4;4;0;0;0;0;0;0;0;0;0;51.209057593323,51.209057593323,51.209057593323,51.209057593323,51.209057593323,51.209057593323,51.209057593323,51.209057593323,51.209057593323,51.209057593323,51.209057593323,51.209057593323,51.209057593323,51.209057593323,51.209057593323,51.209057593323,51.209057593323;3.21624120843638,3.21624120843638,3.21624120843638,3.21624120843638,3.21624120843638,3.21624120843638,3.21624120843638,3.21624120843638,3.21624120843638,3.21624120843638,3.21624120843638,3.21624120843638,3.21624120843638,3.21624120843638,3.21624120843638,3.21624120843638,3.21624120843638;12/08/2016
