STRAATnummer;STRAATNAAM;huisnr;suffix;busnr;POSTCODE;GEMEENTEAFDELING;SECTOR;dat_beslissing;Aantal_verblijven;in_uitbating;StraatHuisNummer;latWGS84;loWGS84;Aangemaakt op
919;Karel de Stoutelaan;43;;;8000;Christus-Koning;C;20090715000000.000;2;ja;Karel de Stoutelaan 43;51.2129308191999;3.20880774389857;20/11/2017
16;Beenhouwersstraat;50;;;8000;Brugge-Centrum;C;20120502000000.000;6;ja;Beenhouwersstraat 50;51.2096611586545;3.21669675751131;20/11/2017
118;Hendrik Consciencelaan;47;;;8000;Brugge-Centrum;C;19990802000000.000;6;neen;Hendrik Consciencelaan 47;51.2034097714565;3.21402871617251;20/11/2017
293;Schouwvegersstraat;5;;;8000;Brugge-Centrum;C;20071109000000.000;7;ja;Schouwvegersstraat 5;51.2080031403278;3.21494448536526;20/11/2017
371;Werkhuisstraat;9;;;8000;Brugge-Centrum;C;20160303000000.000;79;ja;Werkhuisstraat 9;51.203464505871;3.22898771460732;20/11/2017
360;Vlamingstraat;41;;;8000;Brugge-Centrum;C;20151013000000.000;8;ja;Vlamingstraat 41;51.2113931023866;3.22380150225914;20/11/2017
7060;Koningin Astridlaan;17;;;8200;Sint-Michiels;W;20080509000000.000;2;ja;Koningin Astridlaan 17;51.1881978614936;3.20568063118015;20/11/2017
7060;Koningin Astridlaan;264;;;8200;Sint-Michiels;W;20101209000000.000;3;ja;Koningin Astridlaan 264;51.1883541586501;3.19452920918731;20/11/2017
315;Sint-Jorisstraat;51;;;8000;Brugge-Centrum;C;20080902000000.000;2;neen;Sint-Jorisstraat 51;51.2141463627745;3.22139250599635;20/11/2017
7122;'t Speelhof;92;;;8200;Sint-Michiels;W;20140806000000.000;7;ja;'t Speelhof 92;51.1921123630497;3.20108131426586;20/11/2017
220;Maagdenstraat;23;;;8000;Brugge-Centrum;C;20101209000000.000;6;ja;Maagdenstraat 23;51.2028908788531;3.21524427297205;20/11/2017
