A;B;C;01:00;02:00;03:00;04:00;05:00;06:00;07:00;08:00;09:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00;24:00;T16;T24;latWGS84;loWGS84;Aangemaakt op
20140916;Zwaar;50-70;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;4;5;;;08/07/2016
20140916;Zwaar;70-90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;08/07/2016
20140916;Zwaar;90-..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;08/07/2016
20140917;Licht;00-30;0;0;0;0;0;0;3;13;10;26;17;20;8;8;12;20;23;10;5;8;1;2;1;2;186;189;;;08/07/2016
20140917;Licht;30-50;8;0;1;1;6;5;31;160;240;192;215;310;363;263;246;200;368;447;318;170;111;72;34;10;3706;3771;;;08/07/2016
20140917;Licht;50-70;13;8;3;9;7;18;35;88;90;64;44;61;132;133;118;114;90;89;128;89;74;76;43;28;1425;1554;;;08/07/2016
20140917;Licht;70-90;1;3;3;1;1;1;4;0;2;0;0;0;1;1;1;1;0;0;0;0;2;2;2;2;14;28;;;08/07/2016
20140917;Licht;90-..;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;3;;;08/07/2016
20140917;Medium;00-30;0;0;0;0;0;0;0;0;1;3;3;0;1;2;2;3;0;0;1;3;1;0;0;0;20;20;;;08/07/2016
20140917;Medium;30-50;0;0;0;0;1;1;2;5;14;14;17;17;13;9;15;10;11;18;13;6;1;1;1;0;166;169;;;08/07/2016
20140917;Medium;50-70;0;0;2;0;0;1;1;2;2;1;2;5;3;3;3;3;3;6;0;3;1;1;1;1;39;44;;;08/07/2016
20140917;Medium;70-90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;;;08/07/2016
20140917;Medium;90-..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;08/07/2016
20140917;Zwaar;00-30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;;;08/07/2016
20140917;Zwaar;30-50;0;0;0;0;0;0;0;3;5;2;3;1;2;3;0;3;1;1;2;0;1;0;1;0;27;28;;;08/07/2016
20140917;Zwaar;50-70;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;2;1;0;0;0;0;0;0;0;5;5;;;08/07/2016
20140917;Zwaar;70-90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;08/07/2016
20140917;Zwaar;90-..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;08/07/2016
20140918;Licht;00-30;0;0;0;0;0;0;2;16;15;16;29;17;14;15;9;21;28;236;162;6;2;3;3;2;591;596;;;08/07/2016
20140918;Licht;30-50;3;0;2;1;2;7;22;165;273;193;234;264;229;187;208;249;444;391;308;110;76;74;61;21;3427;3524;;;08/07/2016
20140918;Licht;50-70;14;6;3;2;12;13;38;79;65;42;52;54;94;98;84;70;110;38;90;103;81;73;48;33;1171;1302;;;08/07/2016
20140918;Licht;70-90;1;3;0;2;2;2;0;0;0;0;0;0;1;0;1;0;0;0;1;3;2;2;1;3;10;24;;;08/07/2016
20140918;Licht;90-..;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;;;08/07/2016
20140918;Medium;00-30;0;0;0;0;0;0;2;2;2;3;2;3;3;1;4;4;2;13;10;2;0;0;1;0;53;54;;;08/07/2016
20140918;Medium;30-50;1;0;0;0;0;1;1;4;17;15;19;18;8;18;21;17;18;26;7;4;2;2;2;0;197;201;;;08/07/2016
20140918;Medium;50-70;0;1;1;0;1;3;2;5;1;2;4;2;8;8;3;5;7;1;2;2;1;0;1;0;53;60;;;08/07/2016
20140918;Medium;70-90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;;;08/07/2016
20140918;Medium;90-..;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;08/07/2016
20140918;Zwaar;00-30;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2;1;0;0;0;0;0;5;5;;;08/07/2016
20140918;Zwaar;30-50;0;0;0;0;0;0;3;3;2;0;3;1;4;0;0;0;2;5;0;0;1;0;0;0;24;24;;;08/07/2016
20140918;Zwaar;50-70;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;5;5;;;08/07/2016
20140918;Zwaar;70-90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;08/07/2016
