Nr;Id_1;Wijk;Zone;Naam_straa;Proc_bezet;Proc_bewon;Proc_buite;Proc__ande;latWGS84;loWGS84;Aangemaakt op
801302;801302;8;1;Kastanjeboomstraat onpaar (zuid);0;0;0;0;51.2042062692883,51.2042062692883,51.2042062692883,51.2042062692883,51.2042062692883,51.2042062692883;3.22623574358625,3.22623574358625,3.22623574358625,3.22623574358625,3.22623574358625,3.22623574358625;07/07/2016
103202;103202;1;1;Hoefijzerlaan (Kleine Hoefijzerstraat - Neststraat) paar (oost);0;0;0;0;51.2068861026796,51.2068861026796,51.2068861026796,51.2068861026796,51.2068861026796,51.2068861026796;3.21673759418915,3.21673759418915,3.21673759418915,3.21673759418915,3.21673759418915,3.21673759418915;07/07/2016
502307;502307;5;1;Rolweg (Venkelstraat - Balstraat) paar (zuid);0;0;0;0;51.2137639187494,51.2137639187494,51.2137639187494,51.2137639187494,51.2137639187494,51.2137639187494,51.2137639187494,51.2137639187494;3.23327872197231,3.23327872197231,3.23327872197231,3.23327872197231,3.23327872197231,3.23327872197231,3.23327872197231,3.23327872197231;07/07/2016
701901;701901;7;1;Stalijzerstraat (pleintje - Diamantslijperstraat) kant park (oost);0;0;0;0;51.2049344729486,51.2049344729486,51.2049344729486,51.2049344729486,51.2049344729486,51.2049344729486,51.2049344729486,51.2049344729486,51.2049344729486,51.2049344729486,51.2049344729486,51.2049344729486,51.2049344729486,51.2049344729486,51.2049344729486,51.2049344729486,51.2049344729486,51.2049344729486,51.2049344729486,51.2049344729486,51.2049344729486,51.2049344729486,51.2049344729486,51.2049344729486;3.23181299712095,3.23181299712095,3.23181299712095,3.23181299712095,3.23181299712095,3.23181299712095,3.23181299712095,3.23181299712095,3.23181299712095,3.23181299712095,3.23181299712095,3.23181299712095,3.23181299712095,3.23181299712095,3.23181299712095,3.23181299712095,3.23181299712095,3.23181299712095,3.23181299712095,3.23181299712095,3.23181299712095,3.23181299712095,3.23181299712095,3.23181299712095;07/07/2016
600207;600207;6;1;Bilkske richting Kazernevest links paar (zuid);110;45.454545;0;54.545455;51.2079883222439,51.2079883222439,51.2079883222439,51.2079883222439;3.23824908179429,3.23824908179429,3.23824908179429,3.23824908179429;07/07/2016
401614;401614;4;1;Potterierei (Ingang met zebrapad - Peterseliestraat) kant water (west);0;0;0;0;51.2193138485904,51.2193138485904,51.2193138485904,51.2193138485904,51.2193138485904,51.2193138485904,51.2193138485904,51.2193138485904,51.2193138485904,51.2193138485904,51.2193138485904,51.2193138485904,51.2193138485904,51.2193138485904,51.2193138485904,51.2193138485904,51.2193138485904,51.2193138485904,51.2193138485904,51.2193138485904,51.2193138485904,51.2193138485904,51.2193138485904,51.2193138485904,51.2193138485904,51.2193138485904,51.2193138485904,51.2193138485904,51.2193138485904,51.2193138485904,51.2193138485904,51.2193138485904;3.23028711693579,3.23028711693579,3.23028711693579,3.23028711693579,3.23028711693579,3.23028711693579,3.23028711693579,3.23028711693579,3.23028711693579,3.23028711693579,3.23028711693579,3.23028711693579,3.23028711693579,3.23028711693579,3.23028711693579,3.23028711693579,3.23028711693579,3.23028711693579,3.23028711693579,3.23028711693579,3.23028711693579,3.23028711693579,3.23028711693579,3.23028711693579,3.23028711693579,3.23028711693579,3.23028711693579,3.23028711693579,3.23028711693579,3.23028711693579,3.23028711693579,3.23028711693579;07/07/2016
1201501;1201501;12;3;Hoogstraat (Burg - Mallebergplaats) onpaar (noord);0;0;0;0;51.2091260035354,51.2091260035354,51.2091260035354;3.22771850827147,3.22771850827147,3.22771850827147;07/07/2016
1002301;1002301;10;2;Smedenstraat (H.Consciencelaan - Greinschuurstraat) paar (noord);0;0;0;0;51.2052864054265,51.2052864054265,51.2052864054265,51.2052864054265,51.2052864054265;3.21443055660551,3.21443055660551,3.21443055660551,3.21443055660551,3.21443055660551;07/07/2016
1103403;1103403;11;3;Wollestraat (Markt - Oude Burg) paar (west);0;0;0;0;51.2078765553077,51.2078765553077,51.2078765553077,51.2078765553077,51.2078765553077;3.22553708136575,3.22553708136575,3.22553708136575,3.22553708136575,3.22553708136575;07/07/2016
1200402;1200402;12;3;Boomgaardstraat paar (west);0;0;0;0;51.2108452645793,51.2108452645793,51.2108452645793,51.2108452645793,51.2108452645793,51.2108452645793,51.2108452645793,51.2108452645793;3.22911185285372,3.22911185285372,3.22911185285372,3.22911185285372,3.22911185285372,3.22911185285372,3.22911185285372,3.22911185285372;07/07/2016
303801;303801;3;1;Sterstraat paar (noord);0;0;0;0;51.2144947477051,51.2144947477051,51.2144947477051,51.2144947477051,51.2144947477051,51.2144947477051,51.2144947477051,51.2144947477051,51.2144947477051,51.2144947477051,51.2144947477051;3.22517749614478,3.22517749614478,3.22517749614478,3.22517749614478,3.22517749614478,3.22517749614478,3.22517749614478,3.22517749614478,3.22517749614478,3.22517749614478,3.22517749614478;07/07/2016
800602;800602;8;1;Garenmarkt paar (west);120;50;16.666667;33.333333;51.2042793608435,51.2042793608435,51.2042793608435,51.2042793608435,51.2042793608435,51.2042793608435,51.2042793608435,51.2042793608435,51.2042793608435,51.2042793608435,51.2042793608435,51.2042793608435,51.2042793608435,51.2042793608435,51.2042793608435;3.2296079278942,3.2296079278942,3.2296079278942,3.2296079278942,3.2296079278942,3.2296079278942,3.2296079278942,3.2296079278942,3.2296079278942,3.2296079278942,3.2296079278942,3.2296079278942,3.2296079278942,3.2296079278942,3.2296079278942;07/07/2016
101501;101501;1;1;Mortierstraat paar (west);0;0;0;0;51.2083880952379,51.2083880952379,51.2083880952379,51.2083880952379,51.2083880952379,51.2083880952379,51.2083880952379,51.2083880952379,51.2083880952379,51.2083880952379,51.2083880952379,51.2083880952379,51.2083880952379,51.2083880952379,51.2083880952379,51.2083880952379,51.2083880952379;3.21579836941432,3.21579836941432,3.21579836941432,3.21579836941432,3.21579836941432,3.21579836941432,3.21579836941432,3.21579836941432,3.21579836941432,3.21579836941432,3.21579836941432,3.21579836941432,3.21579836941432,3.21579836941432,3.21579836941432,3.21579836941432,3.21579836941432;07/07/2016
102202;102202;1;1;Pater Damiaanstraat onpaar (zuid);71.428571;100;0;0;51.2094724778154,51.2094724778154,51.2094724778154,51.2094724778154,51.2094724778154,51.2094724778154;3.21469783312634,3.21469783312634,3.21469783312634,3.21469783312634,3.21469783312634,3.21469783312634;07/07/2016
1001910;1001910;10;2;Maagdenstraat (Fonteinstraat - Van Voldenstraat) paar (west);0;0;0;0;51.2025174393138,51.2025174393138;3.21521476543474,3.21521476543474;07/07/2016
1201203;1201203;12;1;Genthof (Spiegelrei - Schrijnwerkersstraat) paar (zuid);0;0;0;0;51.2130339124561,51.2130339124561,51.2130339124561,51.2130339124561,51.2130339124561,51.2130339124561,51.2130339124561,51.2130339124561,51.2130339124561,51.2130339124561,51.2130339124561,51.2130339124561,51.2130339124561,51.2130339124561,51.2130339124561;3.22786649048858,3.22786649048858,3.22786649048858,3.22786649048858,3.22786649048858,3.22786649048858,3.22786649048858,3.22786649048858,3.22786649048858,3.22786649048858,3.22786649048858,3.22786649048858,3.22786649048858,3.22786649048858,3.22786649048858;07/07/2016
303301;303301;3;1;Sint-Gilliskerkhof kant huizen (noord);71.428571;20;40;40;51.2151959638823,51.2151959638823;3.22722871354277,3.22722871354277;07/07/2016
401610;401610;4;1;Potterierei (Snaggaardstraat - Gotje) kant water (west);80;50;0;50;51.2153680949077,51.2153680949077,51.2153680949077,51.2153680949077,51.2153680949077,51.2153680949077,51.2153680949077,51.2153680949077,51.2153680949077,51.2153680949077;3.22957706583301,3.22957706583301,3.22957706583301,3.22957706583301,3.22957706583301,3.22957706583301,3.22957706583301,3.22957706583301,3.22957706583301,3.22957706583301;07/07/2016
700902;700902;7;1;Gevangenisstraat onpaar (zuid);0;0;0;0;51.2065103862028,51.2065103862028,51.2065103862028;3.22915130209664,3.22915130209664,3.22915130209664;07/07/2016
102500;102500;1;1;Roompotstraat;0;0;0;0;51.2099380575047,51.2099380575047;3.21443171694711,3.21443171694711;07/07/2016
1103305;1103305;11;3;Steenstraat (Sint-Salvatorskerkhof - S.Stevinplein) paar (zuid);0;0;0;0;51.2068295462532,51.2068295462532,51.2068295462532,51.2068295462532,51.2068295462532;3.22248558458829,3.22248558458829,3.22248558458829,3.22248558458829,3.22248558458829;07/07/2016
702201;702201;7;1;Waalsestraat (Pandreitje - J.Suvéestraat) onpaar (noord);0;0;0;0;51.2072150393699,51.2072150393699;3.22891824958106,3.22891824958106;07/07/2016
302103;302103;3;1;Lange Raamstraat (Sint-Gilliskoorstraat - Sint-Gilliskerkstraat) onpaar (zuid);0;0;0;0;51.2145592847967,51.2145592847967,51.2145592847967,51.2145592847967,51.2145592847967,51.2145592847967,51.2145592847967,51.2145592847967,51.2145592847967,51.2145592847967,51.2145592847967,51.2145592847967,51.2145592847967,51.2145592847967,51.2145592847967,51.2145592847967,51.2145592847967,51.2145592847967,51.2145592847967,51.2145592847967,51.2145592847967,51.2145592847967;3.22705977865661,3.22705977865661,3.22705977865661,3.22705977865661,3.22705977865661,3.22705977865661,3.22705977865661,3.22705977865661,3.22705977865661,3.22705977865661,3.22705977865661,3.22705977865661,3.22705977865661,3.22705977865661,3.22705977865661,3.22705977865661,3.22705977865661,3.22705977865661,3.22705977865661,3.22705977865661,3.22705977865661,3.22705977865661;07/07/2016
304104;304104;3;1;Willem de Dekenstraat west onpaar;0;0;0;0;51.2185620608169,51.2185620608169,51.2185620608169,51.2185620608169,51.2185620608169,51.2185620608169,51.2185620608169,51.2185620608169,51.2185620608169,51.2185620608169,51.2185620608169,51.2185620608169,51.2185620608169,51.2185620608169,51.2185620608169,51.2185620608169;3.22096467806579,3.22096467806579,3.22096467806579,3.22096467806579,3.22096467806579,3.22096467806579,3.22096467806579,3.22096467806579,3.22096467806579,3.22096467806579,3.22096467806579,3.22096467806579,3.22096467806579,3.22096467806579,3.22096467806579,3.22096467806579;07/07/2016
1102301;1102301;11;3;Noordzandstraat (Speelmansrei - Wulfhagestraat) paar (noord);100;0;0;100;51.2067203536397,51.2067203536397,51.2067203536397,51.2067203536397,51.2067203536397,51.2067203536397;3.2191159562594,3.2191159562594,3.2191159562594,3.2191159562594,3.2191159562594,3.2191159562594;07/07/2016
1002308;1002308;10;2;Smedenstraat (Maagdenstraat - Kegelschoolstraat) onpaar (zuid);66.666667;0;10;90;51.2049194133068,51.2049194133068,51.2049194133068;3.21363717216313,3.21363717216313,3.21363717216313;07/07/2016
1001501;1001501;10;2;Klokstraat (H.Consciencelaan - Maagdenstraat) paar (noord);50;50;0;50;51.2030538061429,51.2030538061429;3.21424597095479,3.21424597095479;07/07/2016
801801;801801;8;1;Sentillenhof paar (oost);83.333333;50;0;50;51.201847308837,51.201847308837,51.201847308837,51.201847308837,51.201847308837,51.201847308837,51.201847308837,51.201847308837,51.201847308837,51.201847308837,51.201847308837,51.201847308837,51.201847308837;3.22892575468745,3.22892575468745,3.22892575468745,3.22892575468745,3.22892575468745,3.22892575468745,3.22892575468745,3.22892575468745,3.22892575468745,3.22892575468745,3.22892575468745,3.22892575468745,3.22892575468745;07/07/2016
503101;503101;5;1;Venkelstraat paar (noord);0;0;0;0;51.213117365654,51.213117365654,51.213117365654,51.213117365654,51.213117365654,51.213117365654,51.213117365654,51.213117365654;3.23232211074579,3.23232211074579,3.23232211074579,3.23232211074579,3.23232211074579,3.23232211074579,3.23232211074579,3.23232211074579;07/07/2016
1200101;1200101;12;3;Academiestraat onpaar (noord);0;0;0;0;51.2113078732912,51.2113078732912,51.2113078732912,51.2113078732912,51.2113078732912,51.2113078732912,51.2113078732912;3.22421502610891,3.22421502610891,3.22421502610891,3.22421502610891,3.22421502610891,3.22421502610891,3.22421502610891;07/07/2016
600301;600301;6;1;Essenboomstraat onpaar (noord);0;0;0;0;51.2110945836086,51.2110945836086,51.2110945836086,51.2110945836086,51.2110945836086,51.2110945836086,51.2110945836086,51.2110945836086;3.23648936247197,3.23648936247197,3.23648936247197,3.23648936247197,3.23648936247197,3.23648936247197,3.23648936247197,3.23648936247197;07/07/2016
702501;702501;7;1;Zwarte-Leertouwerstraat (Predikherenstraat - Waalsestraat) onpaar (oost);0;0;0;0;51.2085215001922,51.2085215001922,51.2085215001922;3.23064819488909,3.23064819488909,3.23064819488909;07/07/2016
600818;600818;6;1;Kazernevest (Sint-Brunostraat - ingang parking) kant huizen (west);0;0;0;0;51.2105604578145,51.2105604578145,51.2105604578145,51.2105604578145;3.24038041617951,3.24038041617951,3.24038041617951,3.24038041617951;07/07/2016
1200600;1200600;12;3;Breidelstraat;0;0;0;0;51.2086593600794,51.2086593600794,51.2086593600794,51.2086593600794,51.2086593600794,51.2086593600794;3.22643665559908,3.22643665559908,3.22643665559908,3.22643665559908,3.22643665559908,3.22643665559908;07/07/2016
100206;100206;1;1;Beenhouwerstraat (Pater Damiaanstraat - Bollaardstraat) onpaar (west);0;0;0;0;51.2093481280242,51.2093481280242,51.2093481280242,51.2093481280242,51.2093481280242;3.21668234686532,3.21668234686532,3.21668234686532,3.21668234686532,3.21668234686532;07/07/2016
102405;102405;1;1;Raamstraat (Groenestraat - Zakske) onpaar (west);200;50;0;50;51.2120594067113,51.2120594067113,51.2120594067113,51.2120594067113,51.2120594067113,51.2120594067113,51.2120594067113,51.2120594067113,51.2120594067113,51.2120594067113,51.2120594067113,51.2120594067113,51.2120594067113;3.21842352491495,3.21842352491495,3.21842352491495,3.21842352491495,3.21842352491495,3.21842352491495,3.21842352491495,3.21842352491495,3.21842352491495,3.21842352491495,3.21842352491495,3.21842352491495,3.21842352491495;07/07/2016
303802;303802;3;1;Sterstraat onpaar (zuid);0;0;0;0;51.2144037725428,51.2144037725428,51.2144037725428,51.2144037725428,51.2144037725428,51.2144037725428,51.2144037725428,51.2144037725428,51.2144037725428,51.2144037725428,51.2144037725428,51.2144037725428,51.2144037725428,51.2144037725428,51.2144037725428,51.2144037725428,51.2144037725428,51.2144037725428,51.2144037725428,51.2144037725428,51.2144037725428,51.2144037725428,51.2144037725428,51.2144037725428;3.22511699212868,3.22511699212868,3.22511699212868,3.22511699212868,3.22511699212868,3.22511699212868,3.22511699212868,3.22511699212868,3.22511699212868,3.22511699212868,3.22511699212868,3.22511699212868,3.22511699212868,3.22511699212868,3.22511699212868,3.22511699212868,3.22511699212868,3.22511699212868,3.22511699212868,3.22511699212868,3.22511699212868,3.22511699212868,3.22511699212868,3.22511699212868;07/07/2016
302102;302102;3;1;Lange Raamstraat (Baliestraat - Sint-Gilliskoorstraat) paar (noord);100;22.222222;33.333333;44.444444;51.2146855132898,51.2146855132898,51.2146855132898,51.2146855132898,51.2146855132898;3.2272910203524,3.2272910203524,3.2272910203524,3.2272910203524,3.2272910203524;07/07/2016
302303;302303;3;1;Noord Gistelhof (West-Gistelhof - Hoedenmakersstraat) paar (zuid);25;0;100;0;51.2146623241992,51.2146623241992;3.22441135375087,3.22441135375087;07/07/2016
