ID;X;Y;TOESTELLEN;PUBLIEK;latWGS84;loWGS84;Aangemaakt op
36;69520.669;225137.96;J;J;51.3305770218517;3.21372957587818;16/03/2017
106;0;0;J;J;51.199464014897;3.24551084778999;16/03/2017
11;0;0;J;J;51.2287017444309;3.24235203859111;16/03/2017
15;70880.091;212124.67;J;J;51.213813283382;3.23607654430581;16/03/2017
97;0;0;J;J;51.2093920706441;3.2389622924981;16/03/2017
43;71891.199;214233.231;J;J;51.2329006075647;3.25008989412303;16/03/2017
115;0;0;J;J;51.2270218171403;3.19167883666557;16/03/2017
87;69519.203;208155.151;J;J;51.1779490304614;3.21748287695678;16/03/2017
108;0;0;N;J;51.2320550179443;3.18949925476941;16/03/2017
73;66563.936;208998.201;J;J;51.1851069463466;3.17503350009597;16/03/2017
2;0;0;J;J;51.2011321806766;3.18070896401319;16/03/2017
74;69009.128;211390.47;J;J;51.2069546424338;3.20946733926139;16/03/2017
8;0;0;J;J;51.1877667721252;3.27833411916148;16/03/2017
86;66663.345;210421.894;J;J;51.1979165819703;3.17612982071718;16/03/2017
64;74014.742;212932.922;J;J;51.2214986355949;3.28076219009835;16/03/2017
93;0;0;J;J;51.1885390004199;3.21846279503566;16/03/2017
76;68494.024;211390.364;N;J;51.2068821840722;3.20209907967496;16/03/2017
90;69250.818;209193.023;J;J;51.1873134105184;3.21352145159414;16/03/2017
40;70690.503;213990.82;N;J;51.2304201749835;3.23384966702422;16/03/2017
23;70519.843;210986.578;J;J;51.2035347136908;3.23117013146911;16/03/2017
95;0;0;J;J;51.2080194350832;3.23853984595966;16/03/2017
16;70763.549;211681.378;J;J;51.2098129553305;3.23450583307253;16/03/2017
62;73794.602;212375.329;J;J;51.2164575952564;3.27773003056506;16/03/2017
79;66719.867;211488.6;N;J;51.2075118710027;3.17669263518087;16/03/2017
48;72247.385;210250.14;J;J;51.1971520270863;3.25604278419006;16/03/2017
55;71020.848;210044.567;N;J;51.195137683726;3.23854374410498;16/03/2017
17;70597.562;211245.684;J;J;51.2057711337097;3.23211732408441;16/03/2017
44;71582.544;214077.839;J;J;51.2314626821609;3.24570559006058;16/03/2017
26;68977.761;214385.694;J;J;51.2338695583097;3.20834976615217;16/03/2017
57;71415.209;209363.13;J;J;51.1890671688003;3.2443318190133;16/03/2017
99;0;0;J;J;51.177737409422;3.22648701186005;16/03/2017
102;0;0;J;J;51.2973779763806;3.18747002718254;16/03/2017
39;70595.788;213649.39;J;J;51.2274767029799;3.23167515696785;16/03/2017
60;71633.288;212495.033;J;J;51.2172446021909;3.2467748455986;16/03/2017
61;73283.711;212363.117;J;J;51.2160845658559;3.27072899368934;16/03/2017
113;0;0;J;J;51.2330366385667;3.23515930815478;16/03/2017
98;0;0;J;J;51.2248570018849;3.22570784395913;16/03/2017
69;67594.024;210254.479;J;J;51.1961506596349;3.18792565247023;16/03/2017
1;0;0;J;J;51.2084990233627;3.19486174948167;16/03/2017
92;69786.114;208802.945;J;J;51.1838080579132;3.22115712874106;16/03/2017
41;71054.46;213496.3;N;J;51.2261643908551;3.23827369407546;16/03/2017
10;0;0;J;J;51.2728925430693;3.22987786950876;16/03/2017
101;0;0;J;J;51.2065685546508;3.21954034262854;16/03/2017
103;0;0;J;J;51.3312282715184;3.20957367213946;16/03/2017
58;70921.536;209110.503;J;J;51.1867289614071;3.23732557172145;16/03/2017
51;71176.264;210350.551;J;J;51.1979093848168;3.24069919580245;16/03/2017
5;0;0;J;J;51.1885698231722;3.23702463004865;16/03/2017
50;73178.839;209897.89;J;J;51.1941102353804;3.26944216186106;16/03/2017
114;0;0;J;J;51.224706393074;3.21306787052046;16/03/2017
84;68313.971;210023.48;J;J;51.1945712199619;3.1998302398936;16/03/2017
25;68665.335;213703.477;J;J;51.227759493943;3.20368647797049;16/03/2017
94;0;0;N;J;51.1942829376795;3.18738271551205;16/03/2017
27;69271.8;214483.286;J;J;51.234787794013;3.21253747060537;16/03/2017
28;68136.069;213858.644;J;J;51.2290145989594;3.19641998736114;16/03/2017
29;69099.905;213614.126;J;J;51.2273838393988;3.21146043257091;16/03/2017
