Operatie;Dossier_Jaar;Element_Type;Element_Jaar;Feit_Volgnummer;Feit_Type;Feitcodegroep_volgens_vertaalta;Feit;Avoc_Waarde__Zwaarste_;Avoc_Waarde__Som_;Avoc_Aantal_Objecten;Avoc_Aantal_Slachtoffers;Avoc_Aantal_Doden;Avoc_Aantal_Zwaar_gewonden;Avoc_Aantal_Licht_gewonden;Avoc_Aantal_Niet_gewonden;Datum_Laag;Uur_Laag;Datum_Hoog;Uur_Hoog;Datum;Jaar;Maand;Week;Dag;Weekend_volgens_Politie;Uur;Uur__Groep_;Dag_of_Nacht_volgens_Zon;Dag_of_Nacht_volgens_Politie__2;Straat;Huisnummer;Busnummer;Postcode;Gemeente;Land;Kruispunt_met_straat;KmHm_paal;Lokale_plaats;Poging__;Zware_Overtreding__;minderjarig__;Matching;Type_Locatie;Locatie;EL_DATUM_CREATIE;ObjectID;X;Y;latWGS84;loWGS84;Aangemaakt op
PV;2015;VO;2015;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;1;0;1;0;0;1;1;20150130;745;20150130;800;20150130;2015;january;5;friday;0;800;8;night;day;Hauwerstraat;3;-9;8000;BRUGGE;België;;-99,9;;-9;-9;;AnchorPoints;politiezone;;20150130;665;69441,33145833308;211088.43624999942;51.2041419459804;3.2160659416319;10/10/2016
PV;2013;VO;2013;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;1;0;1;0;0;1;1;20130728;1115;20130728;1115;20130728;2013;july;30;sunday;1;1115;11;day;day;Dudzeelse Steenweg;;-9;8000;BRUGGE;België;Ronsaardbekestraat;-99,9;;-9;-9;;AnchorPoints;politiezone;;20130728;156;70332,29006923943;213454.3320843335;51.2255286434345;3.22829278813587;10/10/2016
PV;2013;VO;2013;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;1;0;1;0;0;1;1;20130516;823;20130516;823;20130516;2013;may;20;thursday;0;823;8;day;day;Langestraat;112;-9;8000;BRUGGE;België;;-99,9;;-9;-9;;AnchorPoints;politiezone;;20130516;81;70895,82175831615;211861.893591805;51.211294308301;3.23670596201759;10/10/2016
PV;2015;VO;2015;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;1;0;1;0;0;1;2;20150817;1900;20150817;1900;20150817;2015;august;34;monday;0;1900;19;day;day;Blankenbergse Steenweg;;-9;8000;BRUGGE;België;Sint-Pieterskerklaan;-99,9;;-9;-9;;AnchorPoints;politiezone;;20150817;834;68787,84985890906;213923.32008410158;51.2295284113725;3.20608222780312;10/10/2016
PV;2013;VO;2013;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;1;0;1;0;0;1;1;20131226;944;20131226;944;20131226;2013;december;52;thursday;0;944;9;day;day;Sint-Pieterskaai;25;-9;8000;BRUGGE;België;;-99,9;;-9;-9;;AnchorPoints;politiezone;;20131226;303;69350,67321951877;212881.13211743833;51.2202408561381;3.21437041271378;10/10/2016
PV;2013;VO;2013;1;Verkeersongeval;VO;Verkeersongeval met stoffelijke schade;0;0;0;0;0;0;0;2;20130823;1615;20130823;1615;20130823;2013;august;34;friday;0;1615;16;day;day;Pathoekeweg;122B;-9;8000;BRUGGE;België;;-99,9;;-9;-9;;AnchorPoints;politiezone;;20130823;184;69570,62712139571;215013.79869744528;51.2394384006882;3.21704507676519;10/10/2016
PV;2013;VO;2013;1;Verkeersongeval;VO;Verkeersongeval met gewonden;3;3;0;1;0;1;0;0;20130101;235;20130101;235;20130101;2013;january;1;tuesday;0;235;2;night;night;Spoorwegstraat;250;-9;8200;BRUGGE;België;;-99,9;;-9;-9;;AnchorPoints;politiezone;;20130101;1;70009,67777427330;208722.475731811;51.182957043155;3.22471821664601;10/10/2016
PV;2015;VO;2015;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;1;0;1;0;0;1;1;20150928;1210;20150928;1210;20150928;2015;september;40;monday;0;1210;12;day;day;Doornhut;;-9;8310;BRUGGE;België;Brieversweg;-99,9;;-9;-9;;AnchorPoints;politiezone;;20150928;876;72940,96877025341;211967.1431848334;51.2125166970816;3.26594712746341;10/10/2016
PV;2013;VO;2013;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;2;0;2;0;0;2;0;20130731;1730;20130731;1730;20130731;2013;july;31;wednesday;0;1730;17;day;day;Steenstraat;6;-9;8000;BRUGGE;België;;-99,9;;-9;-9;;AnchorPoints;politiezone;;20130731;158;69996,68982341963;211526.64798256278;51.2081574965496;3.22391453120633;10/10/2016
PV;2013;VO;2013;1;Verkeersongeval;VO;Verkeersongeval met stoffelijke schade;0;0;0;0;0;0;0;2;20130806;41;20130806;41;20130806;2013;august;32;tuesday;0;41;0;night;night;Gotje;;-9;8000;BRUGGE;België;Potterierei;-99,9;;-9;-9;;AnchorPoints;politiezone;;20130806;165;70394,43814746563;212396.74612888737;51.2160323361339;3.22941446741771;10/10/2016
PV;2015;VO;2015;1;Verkeersongeval;VO;Verkeersongeval met doden;5;5;0;1;1;0;0;1;20150913;1904;20150913;1904;20150913;2015;september;37;sunday;1;1904;19;day;day;Dudzeelse Steenweg;41;-9;8000;BRUGGE;België;;-99,9;;-9;-9;;AnchorPoints;politiezone;;20150913;856;70318,24065771163;213476.83040809433;51.2257289036058;3.22808675327132;10/10/2016
