SITE;DATE;ZONE;FROM;TO;VALUE;latWGS84;loWGS84;Aangemaakt op
RUZ01;23/4/2012;A;11:0;12:0;638;;;08/07/2016
RUZ01;23/4/2012;A;12:0;13:0;609;;;08/07/2016
RUZ01;23/4/2012;A;13:0;14:0;760;;;08/07/2016
RUZ01;23/4/2012;A;14:0;15:0;696;;;08/07/2016
RUZ01;23/4/2012;A;15:0;16:0;686;;;08/07/2016
RUZ01;23/4/2012;A;16:0;17:0;673;;;08/07/2016
RUZ01;23/4/2012;A;17:0;18:0;693;;;08/07/2016
RUZ01;23/4/2012;A;18:0;19:0;798;;;08/07/2016
RUZ01;23/4/2012;A;19:0;20:0;534;;;08/07/2016
RUZ01;23/4/2012;A;20:0;21:0;318;;;08/07/2016
RUZ01;23/4/2012;A;21:0;22:0;218;;;08/07/2016
RUZ01;23/4/2012;A;22:0;23:0;187;;;08/07/2016
RUZ01;23/4/2012;A;23:0;0:0;74;;;08/07/2016
RUZ01;23/4/2012;Lic >60kmu;0:0;1:0;3;;;08/07/2016
RUZ01;23/4/2012;Lic >60kmu;1:0;2:0;5;;;08/07/2016
RUZ01;23/4/2012;Lic >60kmu;2:0;3:0;2;;;08/07/2016
RUZ01;23/4/2012;Lic >60kmu;3:0;4:0;3;;;08/07/2016
RUZ01;23/4/2012;Lic >60kmu;4:0;5:0;4;;;08/07/2016
RUZ01;23/4/2012;Lic >60kmu;5:0;6:0;4;;;08/07/2016
RUZ01;23/4/2012;Lic >60kmu;6:0;7:0;2;;;08/07/2016
RUZ01;23/4/2012;Lic >60kmu;10:0;11:0;1;;;08/07/2016
RUZ01;23/4/2012;Lic >60kmu;13:0;14:0;1;;;08/07/2016
RUZ01;23/4/2012;Lic >60kmu;14:0;15:0;2;;;08/07/2016
RUZ01;23/4/2012;Lic >60kmu;15:0;16:0;1;;;08/07/2016
RUZ01;23/4/2012;Lic >60kmu;16:0;17:0;1;;;08/07/2016
RUZ01;23/4/2012;Lic >60kmu;17:0;18:0;2;;;08/07/2016
RUZ01;23/4/2012;Lic >60kmu;18:0;19:0;1;;;08/07/2016
RUZ01;23/4/2012;Lic >60kmu;19:0;20:0;1;;;08/07/2016
RUZ01;23/4/2012;Lic >60kmu;20:0;21:0;2;;;08/07/2016
RUZ01;23/4/2012;Lic >60kmu;21:0;22:0;3;;;08/07/2016
RUZ01;23/4/2012;Lic >60kmu;22:0;23:0;7;;;08/07/2016
RUZ01;23/4/2012;Lic >60kmu;23:0;0:0;4;;;08/07/2016
RUZ01;23/4/2012;Lic 50-60;0:0;1:0;12;;;08/07/2016
RUZ01;23/4/2012;Lic 50-60;1:0;2:0;5;;;08/07/2016
RUZ01;23/4/2012;Lic 50-60;2:0;3:0;5;;;08/07/2016
RUZ01;23/4/2012;Lic 50-60;3:0;4:0;4;;;08/07/2016
RUZ01;23/4/2012;Lic 50-60;4:0;5:0;6;;;08/07/2016
RUZ01;23/4/2012;Lic 50-60;5:0;6:0;19;;;08/07/2016
RUZ01;23/4/2012;Lic 50-60;6:0;7:0;31;;;08/07/2016
RUZ01;23/4/2012;Lic 50-60;7:0;8:0;10;;;08/07/2016
RUZ01;23/4/2012;Lic 50-60;9:0;10:0;7;;;08/07/2016
RUZ01;23/4/2012;Lic 50-60;10:0;11:0;7;;;08/07/2016
RUZ01;23/4/2012;Lic 50-60;11:0;12:0;23;;;08/07/2016
RUZ01;23/4/2012;Lic 50-60;12:0;13:0;31;;;08/07/2016
RUZ01;23/4/2012;Lic 50-60;13:0;14:0;8;;;08/07/2016
RUZ01;23/4/2012;Lic 50-60;14:0;15:0;20;;;08/07/2016
RUZ01;23/4/2012;Lic 50-60;15:0;16:0;14;;;08/07/2016
RUZ01;23/4/2012;Lic 50-60;16:0;17:0;24;;;08/07/2016
RUZ01;23/4/2012;Lic 50-60;17:0;18:0;25;;;08/07/2016
RUZ01;23/4/2012;Lic 50-60;18:0;19:0;15;;;08/07/2016
RUZ01;23/4/2012;Lic 50-60;19:0;20:0;30;;;08/07/2016
RUZ01;23/4/2012;Lic 50-60;20:0;21:0;26;;;08/07/2016
RUZ01;23/4/2012;Lic 50-60;21:0;22:0;34;;;08/07/2016
RUZ01;23/4/2012;Lic 50-60;22:0;23:0;36;;;08/07/2016
RUZ01;23/4/2012;Lic 50-60;23:0;0:0;24;;;08/07/2016
RUZ01;23/4/2012;Lic 40-50;0:0;1:0;10;;;08/07/2016
RUZ01;23/4/2012;Lic 40-50;1:0;2:0;5;;;08/07/2016
RUZ01;23/4/2012;Lic 40-50;2:0;3:0;4;;;08/07/2016
RUZ01;23/4/2012;Lic 40-50;3:0;4:0;5;;;08/07/2016
RUZ01;23/4/2012;Lic 40-50;4:0;5:0;11;;;08/07/2016
RUZ01;23/4/2012;Lic 40-50;5:0;6:0;49;;;08/07/2016
RUZ01;23/4/2012;Lic 40-50;6:0;7:0;124;;;08/07/2016
RUZ01;23/4/2012;Lic 40-50;7:0;8:0;212;;;08/07/2016
RUZ01;23/4/2012;Lic 40-50;8:0;9:0;26;;;08/07/2016
RUZ01;23/4/2012;Lic 40-50;9:0;10:0;176;;;08/07/2016
RUZ01;23/4/2012;Lic 40-50;10:0;11:0;224;;;08/07/2016
RUZ01;23/4/2012;Lic 40-50;11:0;12:0;286;;;08/07/2016
RUZ01;23/4/2012;Lic 40-50;12:0;13:0;316;;;08/07/2016
RUZ01;23/4/2012;Lic 40-50;13:0;14:0;264;;;08/07/2016
RUZ01;23/4/2012;Lic 40-50;14:0;15:0;235;;;08/07/2016
RUZ01;23/4/2012;Lic 40-50;15:0;16:0;236;;;08/07/2016
RUZ01;23/4/2012;Lic 40-50;16:0;17:0;261;;;08/07/2016
RUZ01;23/4/2012;Lic 40-50;17:0;18:0;243;;;08/07/2016
RUZ01;23/4/2012;Lic 40-50;18:0;19:0;275;;;08/07/2016
RUZ01;23/4/2012;Lic 40-50;19:0;20:0;248;;;08/07/2016
RUZ01;23/4/2012;Lic 40-50;20:0;21:0;167;;;08/07/2016
RUZ01;23/4/2012;Lic 40-50;21:0;22:0;125;;;08/07/2016
RUZ01;23/4/2012;Lic 40-50;22:0;23:0;113;;;08/07/2016
RUZ01;23/4/2012;Lic 40-50;23:0;0:0;38;;;08/07/2016
RUZ01;23/4/2012;Lic 30-40;0:0;1:0;1;;;08/07/2016
RUZ01;23/4/2012;Lic 30-40;1:0;2:0;1;;;08/07/2016
RUZ01;23/4/2012;Lic 30-40;2:0;3:0;1;;;08/07/2016
RUZ01;23/4/2012;Lic 30-40;4:0;5:0;1;;;08/07/2016
RUZ01;23/4/2012;Lic 30-40;5:0;6:0;12;;;08/07/2016
RUZ01;23/4/2012;Lic 30-40;6:0;7:0;43;;;08/07/2016
RUZ01;23/4/2012;Lic 30-40;7:0;8:0;432;;;08/07/2016
RUZ01;23/4/2012;Lic 30-40;8:0;9:0;165;;;08/07/2016
RUZ01;23/4/2012;Lic 30-40;9:0;10:0;278;;;08/07/2016
RUZ01;23/4/2012;Lic 30-40;10:0;11:0;238;;;08/07/2016
RUZ01;23/4/2012;Lic 30-40;11:0;12:0;184;;;08/07/2016
RUZ01;23/4/2012;Lic 30-40;12:0;13:0;129;;;08/07/2016
RUZ01;23/4/2012;Lic 30-40;13:0;14:0;285;;;08/07/2016
RUZ01;23/4/2012;Lic 30-40;14:0;15:0;236;;;08/07/2016
RUZ01;23/4/2012;Lic 30-40;15:0;16:0;259;;;08/07/2016
RUZ01;23/4/2012;Lic 30-40;16:0;17:0;281;;;08/07/2016
RUZ01;23/4/2012;Lic 30-40;17:0;18:0;295;;;08/07/2016
RUZ01;23/4/2012;Lic 30-40;18:0;19:0;312;;;08/07/2016
RUZ01;23/4/2012;Lic 30-40;19:0;20:0;153;;;08/07/2016
RUZ01;23/4/2012;Lic 30-40;20:0;21:0;80;;;08/07/2016
RUZ01;23/4/2012;Lic 30-40;21:0;22:0;35;;;08/07/2016
