Naam;Bijnaam;Straat;nr;postcode;plaats;man;afvalemMan;vrouw;afvalemVrouw;invalide;baby;prijs;maO;maD;DiO;DiD;WoeO;WoeD;DoO;DoD;VrO;VrD;ZaO;ZaD;ZoO;ZoD;Opmerking;latWGS84;loWGS84;Aangemaakt op
Kinderboerderij;Assebroek;Canadaring;40;8310;Brugge;x;;x;;x;x;0.0;090000.000;180000.000;090000.000;180000.000;090000.000;180000.000;090000.000;180000.000;090000.000;180000.000;090000.000;180000.000;090000.000;180000.000;;51.189362542968304;3.244372620824654;06/07/2018
Dienstencentrum Ter Leyen;Assebroek;Kroosmeers;1;8310;Brugge;x;;x;;x;;0.0;094500.000;180000.000;094500.000;180000.000;094500.000;180000.000;094500.000;180000.000;094500.000;180000.000;000000.000;000000.000;000000.000;000000.000;Tijdens het weekend gesloten.;51.186096701276;3.2447186497715257;06/07/2018
Sportdomein 'De Polder';Dudzele;Amaat Vynckestraat;3;8380;Brugge;x;;x;;x;;0.0;080000.000;220000.000;080000.000;220000.000;080000.000;220000.000;080000.000;220000.000;080000.000;220000.000;080000.000;220000.000;090000.000;130000.000;Toilet voor personen met beperking is ook damestoilet. Het sportcomplex kan gesloten zijn wanneer er geen portactiviteiten werden gepland.;51.27494757090375;3.2298571713467266;06/07/2018
Paviljoen ondergrondse parking (-1);Brugge centrum;t Zand;25;8000;Brugge;x;;x;;x;x;0.4;093000.000;180000.000;093000.000;180000.000;093000.000;180000.000;093000.000;180000.000;093000.000;180000.000;093000.000;180000.000;093000.000;180000.000;WC op -1 in paviljoen. Na 19,00 toiletten toegankelijk met parkeerticket.;51.20487647404536;3.2177907398014924;06/07/2018
Kerkhof;Sint-Michiels;Groene Poortdreef;;8200;Brugge;x;;x;;;;0.0;080000.000;180000.000;080000.000;180000.000;080000.000;180000.000;080000.000;180000.000;080000.000;180000.000;080000.000;180000.000;080000.000;180000.000;01/04 tot 15/10 open van 08:00-18:00, 16/10 tot 31/03 open van 08:00-17:00;51.18852727561826;3.2161229010427848;06/07/2018
Entrepot;Sint-Pieters;Binnenweg;2;8000;Brugge;x;;x;;x;;0.0;080000.000;230000.000;080000.000;230000.000;080000.000;230000.000;080000.000;230000.000;080000.000;230000.000;080000.000;230000.000;000000.000;000000.000;Zondag gesloten.;51.225961096249875;3.225732433344661;06/07/2018
Buurtcentrum;Zeebrugge;Venetiëstraat;1;8380;Brugge;x;;x;;x;;0.0;113000.000;170000.000;113000.000;170000.000;113000.000;190000.000;113000.000;170000.000;113000.000;170000.000;000000.000;000000.000;000000.000;000000.000;Tijdens het weekend gesloten.;51.32647409630384;3.195174810439595;06/07/2018
Kanaaleiland;Brugge centrum;Bargeweg;;8000;Brugge;x;;x;;x;x;0.5;090000.000;180000.000;090000.000;180000.000;090000.000;180000.000;090000.000;180000.000;090000.000;180000.000;090000.000;180000.000;090000.000;180000.000;April-oktober 09.00 > 18.00 November-maart 10.00 > 17.00.;51.196596962489984;3.226208048271169;06/07/2018
Badengebouw;Zeebrugge;Zeedijk;;8380;Brugge;x;;x;;x;x;0.5;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;24/24 Automatische toiletcabine;51.328945378735824;3.1780437466117504;06/07/2018
Schoolgebouw;Brugge centrum;Langerei;26;8000;Brugge;x;;x;;x;;0.0;090000.000;163000.000;090000.000;163000.000;090000.000;163000.000;090000.000;163000.000;090000.000;163000.000;000000.000;000000.000;000000.000;000000.000;Gesloten op zon- en feestdagen en tijdens de schoolvakanties.;51.21567473454823;3.22856765716731;06/07/2018
Historium;Brugge centrum;Markt;1;8000;Brugge;x;;x;;x;x;0.5;100000.000;180000.000;100000.000;180000.000;100000.000;180000.000;100000.000;180000.000;100000.000;180000.000;100000.000;180000.000;000000.000;000000.000;Zondag gesloten.;51.20913168314643;3.224947326534416;06/07/2018
Administratief centrum;Assebroek;Dries;2;8310;Brugge;x;;x;;x;;0.0;083000.000;123000.000;083000.000;180000.000;083000.000;160000.000;083000.000;123000.000;083000.000;123000.000;090000.000;114500.000;000000.000;000000.000;Dinsdag en woensdag gesloten van 12:30-14:00.;51.193338606312054;3.24791559517202;06/07/2018
Oud Sint-Jan;Brugge centrum;Katelijnestraat;65;8000;Brugge;x;;x;;x;;0.5;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;Openingsuren variabel volgens openingsuren café.;51.20365470759;3.2226484190930407;06/07/2018
Urinoir thv. Jan Breydelstadion Parking Oost;Sint-Andries;Koning Leopold III-laan;;8200;Brugge;x;;;;;;0.0;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;Openbaar urinoir 24/24.;51.19325157009994;3.1828072815128805;06/07/2018
