ID;Straat;Aantal;Type;Opmerking;latWGS84;loWGS84;Aangemaakt op
0;Peterseliestraat;11;L;;51.2184234678424,51.2184234678424,51.2184234678424,51.2184234678424,51.2184234678424,51.2184234678424;3.23308600305359,3.23308600305359,3.23308600305359,3.23308600305359,3.23308600305359,3.23308600305359;22/06/2016
0;Guido Gezellelaan;14;L;;51.2070183720787,51.2070183720787,51.2070183720787;3.21349300708632,3.21349300708632,3.21349300708632;22/06/2016
0;Beursplein;16;H;;51.2042582493909,51.2042582493909;3.21458883873261,3.21458883873261;22/06/2016
0;Oude Burg;0;LaLo;;51.2065258584315,51.2065258584315,51.2065258584315,51.2065258584315;3.22397998447453,3.22397998447453,3.22397998447453,3.22397998447453;22/06/2016
0;Jan Boninstraat;11;L;;51.2136464660229,51.2136464660229,51.2136464660229,51.2136464660229,51.2136464660229,51.2136464660229,51.2136464660229,51.2136464660229,51.2136464660229,51.2136464660229,51.2136464660229,51.2136464660229,51.2136464660229,51.2136464660229,51.2136464660229,51.2136464660229,51.2136464660229,51.2136464660229,51.2136464660229,51.2136464660229,51.2136464660229,51.2136464660229,51.2136464660229;3.22045830275008,3.22045830275008,3.22045830275008,3.22045830275008,3.22045830275008,3.22045830275008,3.22045830275008,3.22045830275008,3.22045830275008,3.22045830275008,3.22045830275008,3.22045830275008,3.22045830275008,3.22045830275008,3.22045830275008,3.22045830275008,3.22045830275008,3.22045830275008,3.22045830275008,3.22045830275008,3.22045830275008,3.22045830275008,3.22045830275008;22/06/2016
0;Biezenstraat;9;L;;51.2152871758031,51.2152871758031,51.2152871758031,51.2152871758031,51.2152871758031,51.2152871758031,51.2152871758031,51.2152871758031;3.21805059768972,3.21805059768972,3.21805059768972,3.21805059768972,3.21805059768972,3.21805059768972,3.21805059768972,3.21805059768972;22/06/2016
0;Sint-Maartensplein;9;L;;51.2111161465167,51.2111161465167;3.22902777917657,3.22902777917657;22/06/2016
0;Rijkepijndersstraat;6;L;;51.2140664122603,51.2140664122603;3.2310572778352,3.2310572778352;22/06/2016
0;Rolweg;20;L;;51.2150657296861,51.2150657296861,51.2150657296861,51.2150657296861,51.2150657296861,51.2150657296861,51.2150657296861,51.2150657296861;3.23786544060671,3.23786544060671,3.23786544060671,3.23786544060671,3.23786544060671,3.23786544060671,3.23786544060671,3.23786544060671;22/06/2016
0;Kalkovenstraat;3;L;;51.2142423703516,51.2142423703516,51.2142423703516,51.2142423703516;3.22143999450799,3.22143999450799,3.22143999450799,3.22143999450799;22/06/2016
0;Zwijnstraat;14;L;;51.2042371376823,51.2042371376823,51.2042371376823,51.2042371376823,51.2042371376823,51.2042371376823,51.2042371376823,51.2042371376823,51.2042371376823,51.2042371376823,51.2042371376823,51.2042371376823,51.2042371376823,51.2042371376823,51.2042371376823,51.2042371376823,51.2042371376823,51.2042371376823,51.2042371376823,51.2042371376823,51.2042371376823,51.2042371376823,51.2042371376823,51.2042371376823,51.2042371376823,51.2042371376823,51.2042371376823,51.2042371376823,51.2042371376823,51.2042371376823,51.2042371376823;3.21610755933105,3.21610755933105,3.21610755933105,3.21610755933105,3.21610755933105,3.21610755933105,3.21610755933105,3.21610755933105,3.21610755933105,3.21610755933105,3.21610755933105,3.21610755933105,3.21610755933105,3.21610755933105,3.21610755933105,3.21610755933105,3.21610755933105,3.21610755933105,3.21610755933105,3.21610755933105,3.21610755933105,3.21610755933105,3.21610755933105,3.21610755933105,3.21610755933105,3.21610755933105,3.21610755933105,3.21610755933105,3.21610755933105,3.21610755933105,3.21610755933105;22/06/2016
0;Smedenstraat;2;L;;51.2048199354822,51.2048199354822,51.2048199354822,51.2048199354822,51.2048199354822;3.21324673732801,3.21324673732801,3.21324673732801,3.21324673732801,3.21324673732801;22/06/2016
0;Woensdagmarkt;23;H;;51.2125119872305,51.2125119872305;3.22608590889961,3.22608590889961;22/06/2016
0;Nieuwe Gentweg;11;L;;51.2039673116744,51.2039673116744,51.2039673116744,51.2039673116744,51.2039673116744,51.2039673116744,51.2039673116744,51.2039673116744,51.2039673116744,51.2039673116744,51.2039673116744,51.2039673116744,51.2039673116744;3.2284386595028,3.2284386595028,3.2284386595028,3.2284386595028,3.2284386595028,3.2284386595028,3.2284386595028,3.2284386595028,3.2284386595028,3.2284386595028,3.2284386595028,3.2284386595028,3.2284386595028;22/06/2016
